,time,memory
brackets,11.86434103100001,79.50461
BroadleafCommerce,14.122937293999996,99.317421
camel,9.094809279999993,31.703132
corefx-v-6.2,22.231237577,51.206326
django,8.316232415999991,39.647148
elasticsearch,27.088325477000012,77.74663
fabric8,12.729852541000014,31.828387
godot,220.76526749099997,438.94417
Mybatis3,2.788489100999982,14.434071
mysql-server,203.43099187599995,411.55448
node,49.62970271400002,202.524835
nova,48.830817378000006,175.322951
npm,4.8630451290000565,45.530247
pandas,30.514155776000052,83.520806
pytorch,77.794364675,450.541281
rails,13.196947760999933,82.707147
rust,65.83308054700001,463.004144
security,9.494003692000092,79.979146
spring-boot,24.890326291000065,260.23178
tomcat,12.899002017000157,98.805809
vscode,108.46629492800002,629.262831
wp-calypso,75.36058667900011,415.845155
