project,time_old,time_new,time_diff,time_pct,time_comparison,memory_old,memory_new,memory_diff,memory_pct,memory_comparison
brackets,4.81,11.86,7.06,146.7,4.81 -> 11.86 [+7.06 (+146.70%)],78.25,79.5,1.26,1.61,78.25 -> 79.50 [+1.26 (+1.61%)]
BroadleafCommerce,10.43,14.12,3.7,35.46,10.43 -> 14.12 [+3.70 (+35.46%)],97.46,99.32,1.86,1.91,97.46 -> 99.32 [+1.86 (+1.91%)]
camel,3.07,9.09,6.03,196.71,3.07 -> 9.09 [+6.03 (+196.71%)],30.61,31.7,1.09,3.57,30.61 -> 31.70 [+1.09 (+3.57%)]
corefx-v-6.2,5.8,22.23,16.43,283.4,5.80 -> 22.23 [+16.43 (+283.40%)],49.77,51.21,1.44,2.89,49.77 -> 51.21 [+1.44 (+2.89%)]
django,3.44,8.32,4.88,141.74,3.44 -> 8.32 [+4.88 (+141.74%)],38.37,39.65,1.28,3.34,38.37 -> 39.65 [+1.28 (+3.34%)]
elasticsearch,8.35,27.09,18.74,224.59,8.35 -> 27.09 [+18.74 (+224.59%)],76.11,77.75,1.63,2.15,76.11 -> 77.75 [+1.63 (+2.15%)]
fabric8,2.84,12.73,9.89,348.83,2.84 -> 12.73 [+9.89 (+348.83%)],27.15,31.83,4.68,17.24,27.15 -> 31.83 [+4.68 (+17.24%)]
godot,102.63,220.77,118.14,115.11,102.63 -> 220.77 [+118.14 (+115.11%)],432.26,438.94,6.69,1.55,432.26 -> 438.94 [+6.69 (+1.55%)]
Mybatis3,1.12,2.79,1.67,148.24,1.12 -> 2.79 [+1.67 (+148.24%)],14.57,14.43,-0.13,-0.92,14.57 -> 14.43 [-0.13 (-0.92%)]
mysql-server,150.97,203.43,52.46,34.75,150.97 -> 203.43 [+52.46 (+34.75%)],400.95,411.55,10.6,2.64,400.95 -> 411.55 [+10.60 (+2.64%)]
node,33.22,49.63,16.41,49.39,33.22 -> 49.63 [+16.41 (+49.39%)],200.36,202.52,2.17,1.08,200.36 -> 202.52 [+2.17 (+1.08%)]
nova,29.79,48.83,19.04,63.93,29.79 -> 48.83 [+19.04 (+63.93%)],170.66,175.32,4.67,2.74,170.66 -> 175.32 [+4.67 (+2.74%)]
npm,2.58,4.86,2.29,88.82,2.58 -> 4.86 [+2.29 (+88.82%)],44.39,45.53,1.14,2.56,44.39 -> 45.53 [+1.14 (+2.56%)]
pandas,19.8,30.51,10.71,54.11,19.80 -> 30.51 [+10.71 (+54.11%)],81.1,83.52,2.42,2.98,81.10 -> 83.52 [+2.42 (+2.98%)]
pytorch,48.82,77.79,28.97,59.34,48.82 -> 77.79 [+28.97 (+59.34%)],446.2,450.54,4.34,0.97,446.20 -> 450.54 [+4.34 (+0.97%)]
rails,7.15,13.2,6.05,84.61,7.15 -> 13.20 [+6.05 (+84.61%)],80.52,82.71,2.19,2.72,80.52 -> 82.71 [+2.19 (+2.72%)]
rust,42.23,65.83,23.6,55.89,42.23 -> 65.83 [+23.60 (+55.89%)],456.61,463.0,6.4,1.4,456.61 -> 463.00 [+6.40 (+1.40%)]
security,5.94,9.49,3.55,59.72,5.94 -> 9.49 [+3.55 (+59.72%)],78.53,79.98,1.45,1.84,78.53 -> 79.98 [+1.45 (+1.84%)]
spring-boot,18.19,24.89,6.7,36.81,18.19 -> 24.89 [+6.70 (+36.81%)],254.74,260.23,5.49,2.16,254.74 -> 260.23 [+5.49 (+2.16%)]
tomcat,10.72,12.9,2.17,20.28,10.72 -> 12.90 [+2.17 (+20.28%)],96.46,98.81,2.34,2.43,96.46 -> 98.81 [+2.34 (+2.43%)]
vscode,51.91,108.47,56.56,108.96,51.91 -> 108.47 [+56.56 (+108.96%)],621.03,629.26,8.23,1.33,621.03 -> 629.26 [+8.23 (+1.33%)]
wp-calypso,24.81,75.36,50.55,203.75,24.81 -> 75.36 [+50.55 (+203.75%)],410.71,415.85,5.13,1.25,410.71 -> 415.85 [+5.13 (+1.25%)]
