author_date_unix_timestamp,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,days_to_first_fix
1275026726,0,7.0,254.0,1877.0,9.5592881545105,430845.0,0.0,0.0,1.0,0.0,0.0,938.0,0.0,1759.0,0,0.0
1275253924,0,1.0,1.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,1877.0,0.0,4.0,0,0.0
1275258094,0,2.0,8.0,30.0,4.014124212301699,1018.0,864.0,205.53333333333333,1.0,2.6778703703703712,30.0,1892.5,1.0497284107441422,5.0,1,1.9344444444444444
1275357380,0,1.0,4.0,6.0,1.3754115324416476,362.0,515.0,382.83333333333326,1.0,1.1491435185185186,12.0,2.5,1.0436348864223892,5.0,1,10.658935185185186
1275405691,0,1.0,1.0,1.0,0.0,1.0,1.0,407.0,1.0,0.5591550925925926,3.0,6.0,2.7884125768458525,6.0,0,0.0
1275425230,1,1.0,1.0,2.0,0.9182958340544896,16.0,8.0,344.0,1.0,3.2733796296296296,3.0,7.5,1.1847791015606486,8.0,0,0.0
1275425286,0,1.0,1.0,1.0,0.0,27.0,6.0,158.0,1.0,4.612962962962963,1.0,9.0,1.2167804094741068,0.0,0,0.0
1276191547,1,1.0,1.0,1.0,0.0,13.0,0.0,96.0,1.0,13.481724537037033,1.0,0.0,0.0,0.0,1,1208.954537037037
1276206224,0,2.0,2.0,2.0,0.7080803256135679,76.0,12.0,35.0,2.0,6.825798611111113,1.0,0.5,0.5366257509550674,0.0,0,0.0
1276216901,0,1.0,1.0,1.0,0.0,24.0,3.0,117.0,2.0,0.12357638888888887,2.0,2.0,9.092160719303175,1.0,0,0.0
1276222371,0,1.0,1.0,1.0,0.0,4.0,1.0,138.0,2.0,0.06331018518518519,3.0,3.0,16.79524680073126,2.0,0,0.0
1276222463,0,1.0,1.0,1.0,0.0,3.0,0.0,141.0,2.0,0.0010648148148148149,4.0,4.0,940.1304347826086,3.0,0,0.0
1276247046,0,2.0,3.0,3.0,1.0360964579156369,223.0,6.0,76.33333333333333,2.0,8.523425925925926,3.0,2.0,1.060236702643147,2.0,1,0.38144675925925925
1276247293,0,1.0,1.0,1.0,0.0,2.0,0.0,109.0,1.0,0.6452083333333334,2.0,4.0,2.5498869874071683,3.0,0,0.0
1276278312,1,1.0,1.0,1.0,0.0,4.0,4.0,566.0,1.0,10.658935185185186,3.0,10.0,1.093818001763431,9.0,1,12.393564814814814
