commit_hash,author_date_unix_timestamp,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,project_name
81b947337663659f499f4bd483fa0e44d897d293,1373651011,0,1.0,2.0,3.0,1.4353713907745331,5.0,6.0,171.0,48.0,0.431550925925926,270.0,83.0,2.4160811028267983,84.0,brackets
a0d539cda99fec717cc644db3e769348f13937de,1410264815,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brackets
364668ad550d8b907dac15a53c5fa1a900d24ac1,1324082088,0,1.0,1.0,1.0,0.0,14.0,2.0,0.0,1.0,0.0,0.0,65.0,0.0,12.0,brackets
d30d2da9b031a0e9d544a52d76a0ba72bd50d110,1348180230,0,1.0,1.0,1.0,0.0,165.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,brackets
41210fe73e1b1d586f5d302c29265faa5c6512e7,1411096171,0,1.0,1.0,1.0,0.0,6.0,6.0,2004.0,77.0,0.2581828703703703,466.0,95.0,4.873223651768504,95.0,brackets
f8d2d3548d2575220a8a1f3daee4536431949b5e,1346289382,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brackets
1fe90dbdda142528cc9a3b111e33e434d9f2600d,1353437013,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brackets
a481e474db88d84b9841dba5130366ed3cfd01ad,1488899804,0,1.0,2.0,2.0,0.6581912658132185,42.0,99.0,456.0,105.0,0.05171875,97.0,155.5,10.667673716012084,147.0,brackets
648000614b4c3bf21d68cfe54d07388bcf8c4cc3,1437633179,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brackets
fcc57631264d248c748653baa168ca594c96448c,1418160346,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brackets
30710cdeca1a851935002961ac8baed7c47ee40c,1359759551,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brackets
b171a55da05aebfe5944af9d6ac4e8b434677f4f,1385575027,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brackets
c1e0ac6649801afdcb3ab3d872c1078ab11a4c1d,1376662352,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brackets
91ffeb2ab4f719525123c1ae8a6795bd8224b03a,1367602686,0,1.0,1.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1577.0,0.0,1350.0,brackets
5b653f8f002a78c908512b7a54a839da9bd476ed,1405972506,0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,373.0,0.0,339.0,brackets
