,waiting time,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
Bracket,0.652 ,0.638 ,0.647 ,0.650 ,0.655 ,0.652 ,0.647 ,0.625 ,0.602 ,0.589 ,0.576 ,0.556 
Broadleaf,0.470 ,0.605 ,0.595 ,0.573 ,0.552 ,0.528 ,0.502 ,0.478 ,0.459 ,0.439 ,0.420 ,0.401 
Camel,0.700 ,0.736 ,0.736 ,0.728 ,0.733 ,0.728 ,0.722 ,0.711 ,0.706 ,0.696 ,0.676 ,0.661 
Fabric8,0.639 ,0.662 ,0.665 ,0.664 ,0.660 ,0.655 ,0.647 ,0.637 ,0.620 ,0.601 ,0.574 ,0.548 
jGroup,0.471 ,0.517 ,0.507 ,0.494 ,0.482 ,0.475 ,0.465 ,0.456 ,0.443 ,0.422 ,0.399 ,0.365 
Nova,0.646 ,0.660 ,0.659 ,0.656 ,0.655 ,0.656 ,0.653 ,0.643 ,0.640 ,0.618 ,0.588 ,0.547 
Tomcat,0.508 ,0.629 ,0.623 ,0.614 ,0.608 ,0.594 ,0.582 ,0.567 ,0.542 ,0.507 ,0.459 ,0.412 
Corefx,0.485 ,0.480 ,0.486 ,0.480 ,0.476 ,0.478 ,0.468 ,0.464 ,0.456 ,0.451 ,0.438 ,0.426 
Django,0.600 ,0.620 ,0.616 ,0.613 ,0.613 ,0.615 ,0.612 ,0.609 ,0.600 ,0.587 ,0.563 ,0.535 
Rails,0.465 ,0.764 ,0.730 ,0.683 ,0.650 ,0.599 ,0.557 ,0.518 ,0.484 ,0.448 ,0.415 ,0.386 
Rust,0.452 ,0.457 ,0.462 ,0.457 ,0.460 ,0.448 ,0.446 ,0.443 ,0.427 ,0.421 ,0.401 ,0.397 
Tensorflow,0.683 ,0.800 ,0.799 ,0.796 ,0.791 ,0.777 ,0.756 ,0.725 ,0.694 ,0.657 ,0.615 ,0.577 
VScode,0.347 ,0.328 ,0.323 ,0.319 ,0.311 ,0.310 ,0.302 ,0.292 ,0.282 ,0.273 ,0.264 ,0.252 
wp-Calypso,0.363 ,0.513 ,0.518 ,0.513 ,0.505 ,0.479 ,0.452 ,0.419 ,0.384 ,0.341 ,0.281 ,0.231 
