,Percentage,Zero_Norm,L_1_Norm,L_2_Norm,Spearman_correlation,Pearson_correlation
brackets,0.3119373124374792,3742,6.165657097362027,1072.2195716004464,0.45332319868894555,0.8705285151819245
BroadleafCommerce,0.24667853718668675,3602,20.015230420579147,10217.640187979277,0.48624549796932254,0.7566915931903276
camel,0.014340551893966828,990,1.8663584066649925,729.8990158725693,0.9638116194396029,0.9872662113902585
corefx-v-6.2,0.21137306485884852,4178,6.342400191930592,780.3401514147548,0.6217245133454535,0.9086769170176248
django,0.010262621111677715,322,0.4950574640663195,99.2759076531208,0.9855006479540964,0.9977337340098479
elasticsearch,0.35658077895514334,25104,22.083969138581125,5285.2431762494525,0.27090276616892195,0.5642035795104956
fabric8,0.04738232095696753,610,0.7948732401662717,68.99326023340221,0.9140143730360389,0.985805594439175
godot,0.355868212252603,12065,17.209586523419173,3776.444705747067,0.5175750958338632,0.7956855636393582
vscode,0.2154799334196412,23302,5.960170094322423,1303.734246700043,0.5552235057624479,0.784809207469297
pytorch,0.012720534577246126,889,0.45938226816967337,64.58621087273116,0.9750317441339917,0.9923472057904871
spring-boot,0.27564162827865,8796,19.461113002202794,6880.150145432454,0.3911904148824921,0.6278874540021749
node,0.04472923107609454,1794,1.8923936904862273,496.7784717675436,0.9501923066092842,0.9882236591965927
nova,0.3379581888065998,10815,17.56275431989952,5052.651183105647,0.5959166613594259,0.8277595815497344
tomcat,0.005194705248576266,135,0.4303234849181011,103.11360272455597,0.9929578289807885,0.9987511008270495
pandas,0.05266876485323399,1640,0.8950703743361283,97.34536689751947,0.9395768772161327,0.9891109605856705
security,0.1573742296115809,2196,19.397172629307846,7473.033525638398,0.6966677240936662,0.8259286431361572
rails,0.15961419707707236,10856,11.376371527415305,4943.123657950951,0.6859819605198797,0.8651965132748274
rust,0.4341356774141858,75860,17.101321665769063,3823.994317750316,0.2197058889912981,0.4709452143383941
wp-calypso,0.04115652507975747,2464,0.9521047183779957,107.2449604300577,0.9404269166408709,0.9900804783326115
npm,0.010522496371552975,87,0.35284758267167865,32.51877999699722,0.9817645629155691,0.9984071413656866
Mybatis3,0.09164639091646391,339,8.222337881680401,3803.8859566832193,0.8403638087756246,0.934880636737854
tensorflow,0.2641028263611878,38732,7.975260686738043,1414.2307267145022,0.5154394984533961,0.8904640717670831
