,Wilcoxon,a12
brackets,3.9298318042387026e-259,0.3739195576028955
BroadleafCommerce,0.0,0.3853469773650496
camel,8.294492450328003e-120,0.4925172568401224
corefx-v-6.2,0.0,0.4028372510328754
django,9.691307337362016e-26,0.49664088865900746
elasticsearch,0.0,0.3111174809878785
fabric8,3.857676186005264e-06,0.4924103629714312
godot,0.0,0.3634055377546061
vscode,0.0,0.3914864064160163
pytorch,1.6984732066891e-49,0.4952238359329179
spring-boot,0.0,0.3441168126126651
node,2.5375733778558244e-118,0.4871680892999095
nova,0.0,0.397635796788447
tomcat,1.3680108380011462e-08,0.5006651034449331
pandas,2.1067715319665507e-78,0.4861092598418818
security,5.482135081018756e-66,0.5236123301918183
rails,0.0,0.42892377899129325
rust,0.0,0.30314078254574917
wp-calypso,5.4972134927397224e-222,0.48508005779155877
npm,8.209114638578888e-11,0.4959090078991426
Mybatis3,0.004562197600775654,0.4886690768809234
tensorflow,0.0,0.3726162397170888
