,Percentage,Zero_Norm,L_1_Norm,L_2_Norm,Spearman_correlation,Pearson_correlation
brackets,0.42489163054351453,5097,198.60406050159912,1639835.8787968087,0.49650918858197535,0.8159532373085211
BroadleafCommerce,0.3090672510614984,4513,79.09976457994463,82042.78646072342,0.5596574660289682,0.7199467427753728
camel,0.02306076627797494,1592,17.158628163905185,65690.43687539066,0.9656974190670977,0.9983072638432686
corefx-v-6.2,0.23252048972983913,4596,109.50375339465599,443204.8184593481,0.6385031602146131,0.7034275604781852
django,0.01185619581845997,372,4.310745539477016,3996.8526951973995,0.9841992419974229,0.9933571249999333
elasticsearch,0.40710491179227865,28661,116.41985869818811,146962.5797517597,0.49582908554999194,0.918450955764684
fabric8,0.05196520118067423,669,6.425496059812681,3909.5483213191233,0.9562644105469291,0.9957958471355327
godot,0.3517387841783913,11925,429.2981149625313,4626564.568732385,0.551238818990533,0.9033557521585198
vscode,0.4942851858701683,53452,212.97266845698474,471267.87902714376,0.5715700651407524,0.8493643889252112
pytorch,0.01935982371542633,1353,8.272257220239496,14520.283793650697,0.9860848556593984,0.9983864439610239
spring-boot,0.3809658111622951,12157,351.64655956342597,783200.6245789345,0.4359854467396344,0.5976942239441111
node,0.05951431135932981,2387,34.314169739589865,77325.36358541809,0.920750983536553,0.9844820907041723
nova,0.3745507952876473,11986,305.33478563199685,1001671.0145373994,0.5587128497234016,0.8167226955232272
tomcat,0.007965214714483608,207,0.5528980982600417,400.1322342657672,0.9991083259480275,0.999830253303169
pandas,0.07373627079452759,2296,82.63304018568795,227395.6884827835,0.892117346239945,0.9672333464638726
security,0.2109072667335531,2943,31.03545089458875,33105.78598692173,0.8552840395534473,0.9238089741929298
rails,0.1852118681447937,12597,71.8559583465014,99063.65509457795,0.7506044718711238,0.8938370980172213
rust,0.6125742540260275,107040,329.123962976104,772645.0299348278,0.38137835671579867,0.5974970533833575
wp-calypso,0.05281531343433162,3162,15.896240437651837,77804.78121242767,0.9227580040875336,0.9903346552055935
npm,0.022375423318819546,185,2.746096354936032,785.2562441213678,0.9770543261197268,0.9994626540672191
Mybatis3,0.06326034063260341,234,18.812570962642596,16101.972088330058,0.9050991820502227,0.9331855779735682
tensorflow,0.3125225870239678,45833,568.7114631433184,12994183.701229913,0.5285630242546931,0.8703886436697854
