,Wilcoxon,a12
brackets,0.0,0.3253821873880156
BroadleafCommerce,0.0,0.3675262150447388
camel,1.2414752219725966e-287,0.49175499726178407
corefx-v-6.2,0.0,0.4047231478581709
django,3.5511907184256026e-66,0.4953490936070496
elasticsearch,0.0,0.3059693909792304
fabric8,3.28159246323813e-126,0.48550027272857377
godot,0.0,0.33307556924455545
vscode,0.0,0.3576823533573686
pytorch,7.14199734956752e-237,0.49604803886478216
spring-boot,0.0,0.29857316479358
node,0.0,0.4763361650306912
nova,0.0,0.35242184194306037
tomcat,7.474765230074118e-38,0.4993947483877962
pandas,0.0,0.47650805975158744
security,0.0,0.4488248093938911
rails,0.0,0.41788037864500555
rust,0.0,0.22922189721687755
wp-calypso,0.0,0.4841992883245765
npm,3.1578202730934765e-36,0.4924848841038561
Mybatis3,1.8487053029863518e-68,0.4739448296416741
tensorflow,0.0,0.3690695457458615
