,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp
brackets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1639835.8787968087,978.45756918973,1072.2195716004464,44774.33627875958,0.0,7426.598454600334,0.0
BroadleafCommerce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82042.78646072342,121.7556499109711,10217.640187979277,1277478.788590604,0.0,75998.10064642552,0.0
camel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65690.43687539066,2917.0275802129354,729.8990158725693,216868.51776635041,0.0,4573.184516106519,0.0
corefx-v-6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443204.8184593481,4656.881260750784,780.3401514147548,372901.09268440754,0.0,47043.629573010614,0.0
django,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3996.8526951973995,27.0238717491076,99.2759076531208,881.6372705252422,0.0,33.76703651347321,0.0
elasticsearch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146962.5797517597,48436.60018181302,5285.2431762494525,76645.46240163632,0.0,282613.70446529664,0.0
fabric8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3909.5483213191233,7.969007301537983,68.99326023340221,902.8697374553363,0.0,24198.193302943684,0.0
godot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4626564.568732385,16639.793617084033,3776.444705747067,149071.8807185205,0.0,1081.4120681358934,0.0
vscode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471267.87902714376,6696.725374514518,1303.734246700043,250058.2420288515,0.0,20764.873992794623,0.0
pytorch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14520.283793650697,48.88683159958218,64.58621087273116,179.23429250075122,0.0,834.2936506988306,0.0
spring-boot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783200.6245789345,20716.269750242864,6880.150145432454,1648009.0753658614,0.0,1088410.1267194883,0.0
node,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77325.36358541809,740.492445397427,496.7784717675436,58476.601151889896,0.0,624.4395804050629,0.0
nova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001671.0145373994,38741.267116652605,5052.651183105647,263614.4331427143,0.0,119508.70833584011,0.0
tomcat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.1322342657672,0.8931045097737417,103.11360272455597,3153.822687394182,0.0,5043.57307593778,0.0
pandas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227395.6884827835,52.71295523154988,97.34536689751947,35347.63973280237,0.0,83.51116417303952,0.0
security,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33105.78598692173,2259.9394438870577,7473.033525638398,6837814.836104343,0.0,2680461.4274409385,0.0
rails,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99063.65509457795,37782.35467697827,4943.123657950951,125641.3435175111,0.0,1532.4653961641957,0.0
rust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772645.0299348278,1249687.6076583227,3823.994317750316,847630.3851423274,0.0,202391.75689761288,0.0
wp-calypso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77804.78121242767,711.4173278324341,107.2449604300577,4075.300105229752,0.0,1503.5576476549322,0.0
npm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785.2562441213678,3.1745283018867925,32.51877999699722,1504.3748185776487,0.0,607.4641146689048,0.0
Mybatis3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16101.972088330058,69.59015950256826,3803.8859566832193,12253.272235739389,0.0,19319789.65175511,0.0
tensorflow,0.0,0.0,0.0,0.0,3.370295325270466e-35,0.0,0.0,12994183.701229913,69696.00569363472,1414.2307267145022,144486.4092598275,0.0,1403.516536571642,0.0
