,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp
brackets,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,0.8159532373085211,0.633237789766852,0.8705285151819245,0.7678184155336133,1.0,0.942567946463336,1.0
BroadleafCommerce,1.0,1.0000000000000002,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0000000000000002,0.7199467427753728,0.6741006845839282,0.7566915931903276,0.8571945929579031,1.0,0.972995093554042,1.0
camel,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,0.9983072638432686,0.9670549927454326,0.9872662113902585,0.9881297327439179,1.0,0.9942843899220477,1.0000000000000002
corefx-v-6.2,1.0,1.0,0.9999999999999999,1.0,1.0000000000000002,1.0,1.0,0.7034275604781852,0.8090793781302545,0.9086769170176248,0.9886902112423208,1.0,0.698391610999631,0.9999999999999998
django,1.0000000000000002,0.9999999999999998,1.0,1.0,0.9999999999999999,0.9999999999999998,1.0,0.9933571249999333,0.9993162679692802,0.9977337340098479,0.9979102753624901,0.9999999999999999,0.9998837890795171,0.9999999999999999
elasticsearch,1.0,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,0.918450955764684,0.3528003016120131,0.5642035795104956,0.905533884417031,0.9999999999999999,0.7382000782638806,1.0
fabric8,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,0.9957958471355327,0.9905619109495718,0.985805594439175,0.9998256953711208,1.0,0.9988187879937711,1.0000000000000002
godot,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,0.9999999999999999,0.9033557521585198,0.5474701698808614,0.7956855636393582,0.9254540843073822,1.0,0.9970624399563637,0.9999999999999998
vscode,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998,1.0,1.0,1.0,0.8493643889252112,0.6680470564987375,0.784809207469297,0.8005099986389184,1.0000000000000002,0.9558803803150756,1.0
pytorch,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0000000000000002,0.9983864439610239,0.9997710314903259,0.9923472057904871,0.9998666306380504,1.0,0.999986089374122,1.0000000000000002
spring-boot,0.9999999999999998,0.9999999999999998,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,0.5976942239441111,0.38134340835115527,0.6278874540021749,0.5862667532872792,0.9999999999999999,0.9988686439870027,0.9999999999999999
node,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999998,1.0000000000000002,0.9844820907041723,0.9954750494471765,0.9882236591965927,0.9754694696353116,1.0,0.9996117007560422,0.9999999999999998
nova,1.0,1.0000000000000002,1.0,0.9999999999999998,1.0000000000000002,1.0000000000000002,1.0,0.8167226955232272,0.6152042460309207,0.8277595815497344,0.8089760951211784,1.0,0.9897105966242419,1.0
tomcat,1.0,0.9999999999999998,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,0.999830253303169,0.995857051678195,0.9987511008270495,0.9990153570049501,1.0,0.9985688756676505,1.0
pandas,1.0,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0,0.9999999999999999,0.9672333464638726,0.998421367234761,0.9891109605856705,0.9891713232379102,1.0,0.9987518002607764,1.0
security,1.0,1.0000000000000002,0.9999999999999998,0.9999999999999999,1.0,1.0000000000000002,0.9999999999999999,0.9238089741929298,0.7430114416758495,0.8259286431361572,0.9822757440730033,1.0,0.9508686732915809,0.9999999999999999
rails,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.9999999999999999,0.8938370980172213,0.7779691438489372,0.8651965132748274,0.8556114194745369,1.0000000000000002,0.9971808015465428,1.0
rust,1.0,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999999,1.0000000000000002,1.0,0.5974970533833575,0.23753558474693592,0.4709452143383941,0.6445724344042346,1.0,0.9141702911581061,0.9999999999999998
wp-calypso,1.0000000000000002,0.9999999999999998,0.9999999999999999,1.0000000000000002,0.9999999999999998,1.0000000000000002,1.0,0.9903346552055935,0.9866048707543407,0.9900804783326115,0.9971161449033071,1.0,0.9930904826737641,1.0
npm,1.0,1.0,1.0,0.9999999999999999,1.0,1.0000000000000002,1.0,0.9994626540672191,0.9989584455180598,0.9984071413656866,0.9975854154353216,1.0,0.9996672567976623,1.0
Mybatis3,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0000000000000002,0.9331855779735682,0.900745932478915,0.934880636737854,0.9828157881125612,0.9999999999999999,0.3788022483207142,0.9999999999999999
tensorflow,1.0000000000000002,1.0000000000000002,0.9999999999999998,1.0,1.0,1.0000000000000002,1.0000000000000002,0.8703886436697854,0.782581755033338,0.8904640717670831,0.845820124053925,0.9999999999999998,0.9936566978092491,1.0000000000000002
