,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp
brackets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42489163054351453,0.3821273757919306,0.3119373124374792,0.4462320773591197,0.0,0.3027675891963988,0.0
BroadleafCommerce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3090672510614984,0.28208464593891247,0.24667853718668675,0.3279687714011779,0.0,0.24414463772086015,0.0
camel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02306076627797494,0.023480843050626494,0.014340551893966828,0.025349460418628234,0.0,0.0141087853987108,0.0
corefx-v-6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23252048972983913,0.2244763735707781,0.21137306485884852,0.24542143073965395,0.0,0.20778103814631185,0.0
django,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01185619581845997,0.01035823559408465,0.010262621111677715,0.012525497195308516,0.0,0.00959331973482917,0.0
elasticsearch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40710491179227865,0.4281270418454021,0.35658077895514334,0.41500241470412774,0.0,0.3490525837334167,0.0
fabric8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05196520118067423,0.03922634767748951,0.04738232095696753,0.058956035420226816,0.0,0.04722696908497748,0.0
godot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3517387841783913,0.33277291095183315,0.355868212252603,0.3642450520602897,0.0,0.338052679703861,0.0
vscode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4942851858701683,0.837978546328833,0.2154799334196412,0.5030423525060107,0.0,0.21146661734788239,0.0
pytorch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01935982371542633,0.04321261464936254,0.012720534577246126,0.020590381616037316,0.0,0.012305579006109863,0.0
spring-boot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3809658111622951,0.3833160978972768,0.27564162827865,0.39588229764031213,0.0,0.2644229262636708,0.0
node,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05951431135932981,0.051012266879425554,0.04472923107609454,0.06233170439812506,0.0,0.04181210731026229,0.0
nova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3745507952876473,0.3278647542264304,0.3379581888065998,0.3883316146370426,0.0,0.3304271741508078,0.0
tomcat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007965214714483608,0.0010389410497152532,0.005194705248576266,0.008388486993997229,0.0,0.005194705248576266,0.0
pandas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07373627079452759,0.05340741216520008,0.05266876485323399,0.07656239964031088,0.0,0.05135204573190314,0.0
security,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2109072667335531,0.16282069657445894,0.1573742296115809,0.2529023935789021,0.0,0.15199942668768812,0.0
rails,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1852118681447937,0.18112447437292323,0.15961419707707236,0.19609198106272238,0.0,0.15020436968859352,0.0
rust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6125742540260275,0.6956758117867894,0.4341356774141858,0.6265494626240429,0.0,0.4207728141560508,0.0
wp-calypso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05281531343433162,0.045298902604018774,0.04115652507975747,0.055053533548247005,0.0,0.04045499340226161,0.0
npm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022375423318819546,0.023101112723754234,0.010522496371552975,0.02539912917271408,0.0,0.010280599903241412,0.0
Mybatis3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06326034063260341,0.06001622060016221,0.09164639091646391,0.10921870775885374,0.0,0.08542849418761828,0.0
tensorflow,0.0,0.0,0.0,0.0,0.00030002386553475846,0.0,0.0,0.3125225870239678,0.31872762606116395,0.2641028263611878,0.3184412396440626,0.0,0.2597183866898503,0.0
