,Percentage,Zero_Norm,L_1_Norm,L_2_Norm,Spearman_correlation,Pearson_correlation
fix,0.0,0,0.0,0.0,0.9999999999999999,1.0000000000000002
ns,0.0,0,0.0,0.0,1.0,1.0
nd,0.0,0,0.0,0.0,1.0,1.0000000000000002
nf,0.0,0,0.0,0.0,1.0,1.0
entrophy,0.0,0,0.0,0.0,0.9999999999999998,1.0
la,0.0,0,0.0,0.0,1.0,1.0000000000000002
ld,0.0,0,0.0,0.0,1.0,1.0
lt,0.02306076627797494,1592,17.158628163905185,65690.43687539066,0.9656974190670977,0.9983072638432686
ndev,0.023480843050626494,1621,6.406301151589774,2917.0275802129354,0.9556742836172597,0.9670549927454326
age,0.014340551893966828,990,1.8663584066649925,729.8990158725693,0.9638116194396029,0.9872662113902585
nuc,0.025349460418628234,1750,23.491069747229666,216868.51776635041,0.9740128250576567,0.9881297327439179
exp,0.0,0,0.0,0.0,1.0,1.0
rexp,0.0141087853987108,974,0.4222652142458221,4573.184516106519,0.9925235908127076,0.9942843899220477
sexp,0.0,0,0.0,0.0,1.0,1.0000000000000002
