,Percentage,Zero_Norm,L_1_Norm,L_2_Norm,Spearman_correlation,Pearson_correlation
fix,0.0,0,0.0,0.0,1.0,0.9999999999999999
ns,0.0,0,0.0,0.0,0.9999999999999999,1.0
nd,0.0,0,0.0,0.0,0.9999999999999998,1.0
nf,0.0,0,0.0,0.0,1.0,1.0000000000000002
entrophy,0.0,0,0.0,0.0,1.0,1.0
la,0.0,0,0.0,0.0,1.0,0.9999999999999999
ld,0.0,0,0.0,0.0,1.0,0.9999999999999999
lt,0.3517387841783913,11925,429.2981149625313,4626564.568732385,0.5512388189905328,0.9033557521585198
ndev,0.33277291095183315,11282,65.48969117777187,16639.793617084033,0.4017819454641197,0.5474701698808614
age,0.355868212252603,12065,17.209586523419173,3776.444705747067,0.5175750958338632,0.7956855636393582
nuc,0.3642450520602897,12349,89.87316756629207,149071.8807185205,0.43947626628432207,0.9254540843073822
exp,0.0,0,0.0,0.0,1.0,1.0
rexp,0.338052679703861,11461,1.4599567504914415,1081.4120681358934,0.5709241411091776,0.9970624399563637
sexp,0.0,0,0.0,0.0,1.0,0.9999999999999998
