,Percentage,Zero_Norm,L_1_Norm,L_2_Norm,Spearman_correlation,Pearson_correlation
fix,0.0,0,0.0,0.0,0.9999999999999999,1.0
ns,0.0,0,0.0,0.0,1.0,1.0000000000000002
nd,0.0,0,0.0,0.0,0.9999999999999998,1.0
nf,0.0,0,0.0,0.0,1.0,0.9999999999999998
entrophy,0.0,0,0.0,0.0,1.0,1.0000000000000002
la,0.0,0,0.0,0.0,1.0,1.0000000000000002
ld,0.0,0,0.0,0.0,1.0,1.0
lt,0.3745507952876473,11986,305.33478563199685,1001671.0145373994,0.5587128497234016,0.8167226955232272
ndev,0.3278647542264304,10492,91.1534952032749,38741.267116652605,0.4716443303637409,0.6152042460309207
age,0.3379581888065998,10815,17.56275431989952,5052.651183105647,0.595916661359426,0.8277595815497344
nuc,0.3883316146370426,12427,135.27324146120435,263614.4331427143,0.5210808850120495,0.8089760951211784
exp,0.0,0,0.0,0.0,1.0,1.0
rexp,0.3304271741508078,10574,5.736836403734573,119508.70833584011,0.6982230937532266,0.9897105966242419
sexp,0.0,0,0.0,0.0,0.9999999999999998,1.0
