,Percentage,Zero_Norm,L_1_Norm,L_2_Norm,Spearman_correlation,Pearson_correlation
fix,0.0,0,0.0,0.0,0.9999999999999999,1.0
ns,0.0,0,0.0,0.0,0.9999999999999998,0.9999999999999998
nd,0.0,0,0.0,0.0,1.0,1.0
nf,0.0,0,0.0,0.0,1.0,1.0
entrophy,0.0,0,0.0,0.0,1.0,1.0
la,0.0,0,0.0,0.0,0.9999999999999998,1.0
ld,0.0,0,0.0,0.0,0.9999999999999998,0.9999999999999999
lt,0.1852118681447937,12597,71.8559583465014,99063.65509457795,0.7506044718711238,0.8938370980172213
ndev,0.18112447437292323,12319,67.51479107242626,37782.35467697827,0.6907975921602624,0.7779691438489372
age,0.15961419707707236,10856,11.376371527415305,4943.123657950951,0.6859819605198796,0.8651965132748274
nuc,0.19609198106272238,13337,46.79154291763461,125641.3435175111,0.7086667253431325,0.8556114194745369
exp,0.0,0,0.0,0.0,1.0,1.0000000000000002
rexp,0.15020436968859352,10216,1.517265304383653,1532.4653961641957,0.8801375257769279,0.9971808015465428
sexp,0.0,0,0.0,0.0,1.0,1.0
