,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,2.7298974660992833e-05,5.166913192298456e-05,0.5991365013701786,0.00047879617289540413,2.9217023387765342e-05,0.00027496479338492773,0.0027652381252180956
BroadleafCommerce,6.244815592512222e-05,0.00027649966596285586,0.0003072218510698398,0.03286874809593503,3.850620626796468e-05,0.002652563506424557,0.012613525500525859
camel,1.0,0.6532613712225793,1.0,0.7775595615463194,1.0,0.7275228945209311,0.9954468067133542
corefx-v-6.2,2.5995790577527896e-05,0.09931118846197179,1.0,0.0004617600303046827,2.2282106209309625e-05,1.0,0.007262583535587166
django,0.2232853872811018,0.7775595615463194,0.0028648936077653687,0.17766584234710753,0.3670821026159381,0.9147759547603758,0.034775497239974626
elasticsearch,0.00043578109470040604,7.353206321435564e-05,1.0,0.004842800481197987,0.006944381232714503,9.451141105029266e-05,0.1096511735229765
fabric8,6.244815592512222e-05,0.01833776044929787,0.012270758849329618,0.02407352768121521,2.2282106209309625e-05,1.0,0.02741751919852591
godot,0.00023041638830237986,0.00013804766114121627,0.12335757021334856,0.0011995171057117033,0.0006601703064038591,6.304500483702752e-05,1.0
vscode,2.5995790577527896e-05,5.2537504030856266e-05,5.166913192298456e-05,0.00014082943045052215,2.2282106209309625e-05,4.7773205656737454e-05,4.7773205656737454e-05
pytorch,1.0,1.0,0.04447877836045321,0.0003327989573289056,0.07508482830222511,0.01293240037659611,0.001499396382139629
spring-boot,0.17589435174534104,0.4410497602405523,1.0,0.9361529960621845,0.11610124255373983,0.9028565254627882,1.0
node,2.5995790577527896e-05,3.899368586629184e-05,4.6943143483507384e-05,0.0003327989573289056,2.2282106209309625e-05,0.7356950414261701,4.7773205656737454e-05
nova,2.5995790577527896e-05,3.899368586629184e-05,6.40002097166964e-05,0.7960804570390023,2.2282106209309625e-05,4.6943143483507384e-05,0.028950261509762876
tomcat,3.567873189968e-05,0.0015143622502443686,5.166913192298456e-05,0.00047879617289540413,3.850620626796468e-05,1.0,0.00018406354818828837
pandas,0.00012101780266505656,0.0001951476200265912,0.00011885431652504185,0.0003327989573289056,8.377454158785523e-05,0.1293142382928457,8.471365378952229e-05
security,0.0013055517234209727,0.22526084899951282,0.0009337122184926691,0.0024486761855520753,3.850620626796468e-05,1.0,0.001499396382139629
rails,0.4359501771176713,1.0,0.019596846860310022,0.2232853872811018,0.05653755368517405,1.0,0.07066807369621188
rust,2.5995790577527896e-05,3.899368586629184e-05,4.6943143483507384e-05,0.00047879617289540413,2.2282106209309625e-05,4.6943143483507384e-05,4.7773205656737454e-05
wp-calypso,0.0004304918767245022,0.002244619836756069,0.0003072218510698398,0.05997400282690884,0.3670821026159381,0.29457187946090135,0.053003956579850665
npm,0.46935705378782344,0.06359476431040777,1.0,0.20426852315407854,0.52549645816155,0.275411822265389,0.12824946836367235
Mybatis3,0.0014365883339339924,0.0041468468005708735,0.006513822939866801,0.32142959815723326,0.46935705378782344,0.006957913771876385,0.02741751919852591
tensorflow,2.5995790577527896e-05,3.899368586629184e-05,4.6943143483507384e-05,0.00047879617289540413,2.2282106209309625e-05,4.6943143483507384e-05,4.7773205656737454e-05
