,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,1.5597474346516737e-05,1.949684293314592e-05,0.33312015255474353,0.00015776875558996145,1.5597474346516737e-05,0.00027649966596285586,0.001302932524080417
BroadleafCommerce,0.0057189021916472385,0.07472699235529423,0.12659169800420658,0.17405284992212675,0.0057189021916472385,1.0,0.1315814082275718
camel,0.0015554464454351788,0.013207907895782049,1.0,1.0,0.02273405927468101,0.11815225147059281,1.0
corefx-v-6.2,1.5597474346516737e-05,0.0024333325319233646,1.0,9.600031457504459e-05,1.5597474346516737e-05,0.5521847691621452,0.0011671402731158363
django,1.0,1.0,0.13877869436906182,0.17405284992212675,1.0,0.4753913077403278,0.10740726416176789
elasticsearch,1.5597474346516737e-05,1.949684293314592e-05,0.0009231226209253713,0.17405284992212675,1.5597474346516737e-05,8.40457595084586e-05,0.012270758849329618
fabric8,1.0,1.0,1.0,1.0,0.3487279974851412,1.0,1.0
godot,1.5597474346516737e-05,1.949684293314592e-05,4.22769552250191e-05,0.07709666411614642,1.5597474346516737e-05,2.8165886090104433e-05,0.00025090408289133153
vscode,1.5597474346516737e-05,4.6702211814200315e-05,4.22769552250191e-05,7.041471522526108e-05,1.5597474346516737e-05,2.8779726678254754e-05,5.199158115505579e-05
pytorch,1.5597474346516737e-05,1.949684293314592e-05,0.002244619836756069,1.0,1.5597474346516737e-05,2.8165886090104433e-05,1.0
spring-boot,7.733034608109712e-05,0.0007182401680712839,1.0,0.6237509062148622,3.9594187884653034e-05,0.06523563886750851,1.0
node,1.5597474346516737e-05,1.949684293314592e-05,4.22769552250191e-05,0.3991214367593718,1.5597474346516737e-05,2.8165886090104433e-05,0.0012265182432026395
nova,0.0003421006160614554,0.003913826496680466,0.000146062670354853,0.04799412513543769,0.00010679950287729771,1.0,0.0026261524737849215
tomcat,1.5597474346516737e-05,2.5970687455791417e-05,8.592849782079932e-05,0.00015776875558996145,1.5597474346516737e-05,0.006052152946322638,0.00011457133042773243
pandas,0.00015060541909522857,0.0004275767429665148,0.1156693614049808,0.2679424647373222,0.00029395901078947895,0.002089583031176716,0.17766584234710753
security,0.11564891197421817,1.0,1.0,1.0,0.015241992002463352,1.0,1.0
rails,2.124874428201116e-05,1.949684293314592e-05,8.592849782079932e-05,0.05903939039394344,3.9594187884653034e-05,3.0197825160727926e-05,0.0022624675569966235
rust,1.5597474346516737e-05,1.949684293314592e-05,4.22769552250191e-05,7.041471522526108e-05,1.5597474346516737e-05,2.8165886090104433e-05,5.199158115505579e-05
wp-calypso,6.933168463960775e-05,0.0028620894641886076,0.000146062670354853,9.600031457504459e-05,7.888437779498072e-05,0.10160404437295019,6.45864149037307e-05
npm,1.0,1.0,1.0,0.6632946529777581,0.7405329157583994,0.8959294599388906,1.0
Mybatis3,0.24400605400300407,0.0006570972509638898,8.592849782079932e-05,0.00011341369326035119,1.56980327335935e-05,7.806019490640277e-05,8.471365378952229e-05
tensorflow,1.5597474346516737e-05,1.949684293314592e-05,4.22769552250191e-05,0.04799412513543769,1.5597474346516737e-05,2.8165886090104433e-05,5.199158115505579e-05
