,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,True,True,True,True,True,True,False
BroadleafCommerce,True,True,True,True,False,True,True
camel,True,True,True,True,True,True,True
corefx-v-6.2,False,False,False,True,True,True,True
django,True,False,True,True,True,False,True
elasticsearch,True,True,True,True,True,True,True
fabric8,True,True,True,True,True,True,True
godot,True,True,True,True,True,True,True
vscode,True,True,True,True,True,True,True
pytorch,True,True,True,True,True,True,True
spring-boot,True,True,True,True,True,True,True
node,True,True,True,True,True,True,True
nova,True,True,True,True,True,True,True
tomcat,True,False,False,False,False,False,False
pandas,True,False,True,True,True,True,True
security,False,False,False,False,False,False,False
rails,True,True,True,True,True,True,True
rust,True,True,True,False,True,True,True
wp-calypso,True,True,True,True,True,True,True
npm,True,False,False,True,False,False,True
Mybatis3,True,True,True,True,True,True,True
tensorflow,True,True,False,True,True,True,True
