,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,1.1735785870876846e-05,0.00016039612947454118,1.5597474346516737e-05,1.5597474346516737e-05,1.4082943045052217e-05,0.10593193435943658,1.4082943045052217e-05
BroadleafCommerce,1.1735785870876846e-05,1.564771449450246e-05,1.5597474346516737e-05,1.5597474346516737e-05,0.7679395370904777,1.5597474346516737e-05,1.4082943045052217e-05
camel,0.0001001245339474666,0.0017681087186879904,0.04184909128667243,1.0,0.00039974245695846637,0.01156239837548204,0.48565995047264315
corefx-v-6.2,1.1998057189628258e-05,0.010634657669419003,1.0,3.490920530001622e-05,1.4082943045052217e-05,0.33928679805485734,0.025696201912828565
django,0.015241992002463352,0.8545945643764876,1.0,1.0,0.032650419315521324,1.0,1.0
elasticsearch,1.1735785870876846e-05,1.564771449450246e-05,1.5597474346516737e-05,1.5597474346516737e-05,1.4082943045052217e-05,1.5597474346516737e-05,1.4082943045052217e-05
fabric8,0.2108330252426213,0.45034650609792165,1.0,1.0,0.7679395370904777,1.0,1.0
godot,1.1735785870876846e-05,1.564771449450246e-05,1.5597474346516737e-05,1.5597474346516737e-05,1.4082943045052217e-05,1.5597474346516737e-05,1.4082943045052217e-05
vscode,1.1735785870876846e-05,1.9216797829554135e-05,1.5597474346516737e-05,1.5597474346516737e-05,1.4082943045052217e-05,1.5597474346516737e-05,1.4082943045052217e-05
pytorch,1.3649487330496416e-05,0.25571182473147586,1.0,0.00013349937859662213,1.4082943045052217e-05,1.0,0.004842800481197987
spring-boot,1.1735785870876846e-05,1.564771449450246e-05,1.5597474346516737e-05,1.5597474346516737e-05,1.4082943045052217e-05,1.5597474346516737e-05,1.4082943045052217e-05
node,1.1735785870876846e-05,1.564771449450246e-05,1.56980327335935e-05,0.00518858903086399,1.4179522133197033e-05,1.5597474346516737e-05,4.245655619472756e-05
nova,1.1735785870876846e-05,1.564771449450246e-05,1.5597474346516737e-05,1.5597474346516737e-05,1.5924401885579152e-05,1.5597474346516737e-05,1.4082943045052217e-05
tomcat,0.11551108034524271,0.21274635738842876,0.30365779186862757,1.0,0.7679395370904777,0.33928679805485734,1.0
pandas,1.0,0.20426852315407854,0.007478564404461772,0.012210192910696012,0.1096511735229765,0.012270758849329618,0.03286874809593503
security,2.823788459650743e-05,0.00481797552865942,1.0,1.0,0.000406729021720379,0.18688774872942485,1.0
rails,1.1735785870876846e-05,1.564771449450246e-05,1.5597474346516737e-05,1.5597474346516737e-05,1.4082943045052217e-05,1.5597474346516737e-05,1.4082943045052217e-05
rust,1.1735785870876846e-05,1.564771449450246e-05,1.5597474346516737e-05,1.5597474346516737e-05,1.4082943045052217e-05,1.5597474346516737e-05,1.4082943045052217e-05
wp-calypso,0.0025253730566370067,0.018317398593564644,0.012210192910696012,1.0,0.0005363883739531354,0.022353989989699837,0.5991365013701786
npm,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mybatis3,1.1735785870876846e-05,1.9216797829554135e-05,0.00010106186827549209,0.9276934281490187,1.4082943045052217e-05,4.679313113640813e-05,0.5991365013701786
tensorflow,1.1735785870876846e-05,1.564771449450246e-05,1.5597474346516737e-05,1.5597474346516737e-05,9.328787840814653e-05,1.5597474346516737e-05,1.4082943045052217e-05
