,R0_new,R0_old,R0_diff,R0_p_value,R0_h0,R0_a12,R1_new,R1_old,R1_diff,R1_p_value,R1_h0,R1_a12,Gmean_new,Gmean_old,Gmean_diff,Gmean_p_value,Gmean_h0,Gmean_a12,mcc_new,mcc_old,mcc_diff,mcc_p_value,mcc_h0,mcc_a12,precision_new,precision_old,precision_diff,precision_p_value,precision_h0,precision_a12,f1_score_new,f1_score_old,f1_score_diff,f1_score_p_value,f1_score_h0,f1_score_a12,acc_new,acc_old,acc_diff,acc_p_value,acc_h0,acc_a12
0,0.6734862115441319,0.7067028479573708,-0.0332,2.3534209951215342e-06,yes,0.045555555555555564,0.6228936552148819,0.5964161254960969,0.0265,3.1816794109698553e-06,yes,0.9333333333333332,0.644250133165879,0.6456113324800385,-0.0014,0.12543823902980825,no,,0.2994174742390683,0.3083774282354839,-0.009000000000000001,4.449337283453103e-05,yes,0.17333333333333334,0.6606954241045707,0.675806076348109,-0.0151,2.878599219394298e-06,yes,0.06444444444444444,0.6380334186426779,0.6300140460364572,0.008,2.370447702550485e-05,yes,0.8411111111111111,0.6481593408761381,0.6516259097712082,-0.0035,0.00030649986921763576,yes,0.2311111111111111
1,0.6311506393416743,0.6568034125326392,-0.0257,7.690859302848516e-06,yes,0.10444444444444444,0.6817046900426446,0.6604263104405864,0.0213,3.405256723280537e-05,yes,0.8633333333333333,0.6501055678985611,0.6543913781013591,-0.0043,3.405256723280537e-05,yes,0.16555555555555554,0.31602370024546844,0.31959588534731803,-0.0036,0.005667172691497796,yes,0.2677777777777778,0.6508081189604399,0.6601594832335272,-0.0094,5.216493447033368e-06,yes,0.07333333333333332,0.6643363668788229,0.6585957101308326,0.0057,0.00026134309226671514,yes,0.7766666666666666,0.6563779589528272,0.6585618581526408,-0.0022,0.0017087731951465322,yes,0.2333333333333333
2,0.7083888146306453,0.7064729340205534,0.0019,0.27115519770883223,no,,0.7461665735766264,0.7498066114668436,-0.0036,0.15286069407970188,no,,0.7223874462835731,0.7233316127601803,-0.0009,0.4048347221574208,no,,0.4603528275022216,0.4619571558011302,-0.0016,0.1915221065809437,no,,0.7260678848040566,0.7254423103265745,0.0006,0.5440062075841892,no,,0.7316101783168473,0.7332707918235603,-0.0017,0.12543823902980825,no,,0.7272834026689601,0.7281454994309214,-0.0009,0.24519030932096386,no,
3,0.8456216632653467,0.8757127184962045,-0.0301,1.92092110490314e-06,yes,0.007777777777777778,0.3834313248212296,0.3684500347227567,0.015,0.019569215233846398,yes,0.6766666666666666,0.5320027288477692,0.5328177277777698,-0.0008,0.5999359281677457,no,,0.2537760891554121,0.277288705769227,-0.0235,2.8434237746031825e-05,yes,0.12,0.7188680431977764,0.7535370274513019,-0.0347,1.92092110490314e-06,yes,0.01,0.5218439086886156,0.5173021277258163,0.0045,0.5716457836721114,no,,0.6144274949426106,0.6219563949856219,-0.0075,0.0008944300647461547,yes,0.23222222222222225
4,0.7374739276955752,0.7407257199863101,-0.0033,0.049498046027749744,yes,0.3644444444444445,0.6918986753756587,0.690473371495293,0.0014,0.1915221065809437,no,,0.7085338072950971,0.7097466530567448,-0.0012,0.0003881114287747714,yes,0.23222222222222225,0.4359909127850435,0.4374915623575283,-0.0015,0.03500895681985013,yes,0.33111111111111113,0.7321986326786809,0.7338477258701089,-0.0016,0.08220646595099282,no,,0.7051794900849563,0.7055293041178543,-0.0003,0.1915221065809437,no,,0.7146990822698671,0.7156123819401565,-0.0009,0.0064242118721631,yes,0.2822222222222222
5,0.6429738634638421,0.6525809965632274,-0.0096,7.513662254944795e-05,yes,0.15222222222222226,0.8021824916011119,0.7904279049527491,0.0118,6.339135573122464e-06,yes,0.94,0.7159056069496966,0.7158559749208181,0.0,0.9753871641763364,no,,0.4535875241683748,0.4501092593961376,0.0035,0.000715703384624892,yes,0.7644444444444445,0.6944831631816881,0.6970343699177747,-0.0026,0.0011973381999984534,yes,0.27111111111111114,0.742518011172948,0.7386663734440652,0.0039,6.983783147477089e-06,yes,0.93,0.722575124133465,0.7215011950162601,0.0011,0.024307541573261,yes,0.6633333333333333
6,0.687144578837985,0.6997302098466918,-0.0126,7.690859302848516e-06,yes,0.07333333333333332,0.6817862579188044,0.6732350286527832,0.0086,0.0031617649366554898,yes,0.7088888888888889,0.6756763684761842,0.6781122434189314,-0.0024,0.001964581371326548,yes,0.2577777777777778,0.3765941803184199,0.3806617358442491,-0.0041,0.003854236286879128,yes,0.28,0.6943745668956564,0.7008873972223217,-0.0065,1.7343976283205784e-06,yes,0.028888888888888888,0.6792019971514364,0.6782262440874781,0.001,0.5304400912497492,no,,0.6844376164214798,0.686484785409313,-0.002,0.004389618289039615,yes,0.2855555555555556
7,0.5994905440304196,0.6241646290275419,-0.0247,3.405256723280537e-05,yes,0.12111111111111113,0.7184041942518546,0.6928367432125487,0.0256,1.360110796799097e-05,yes,0.8966666666666666,0.6504164351378453,0.6521584481163399,-0.0017,0.024307541573261,yes,0.30777777777777776,0.3252064903890093,0.3218067533789615,0.0034,0.0001477276174888222,yes,0.7977777777777778,0.6463070619467997,0.6521294364809329,-0.0058,0.00010569503498431287,yes,0.14888888888888888,0.675195803021453,0.6675372570843412,0.0077,3.882182386060857e-06,yes,0.8966666666666666,0.6589673067009721,0.6584987345378417,0.0005,0.4284300285458069,no,
8,0.9238542638483459,0.9373166082753396,-0.0135,1.7343976283205784e-06,yes,0.004444444444444445,0.32364848351530395,0.3547509779228329,-0.0311,3.882182386060857e-06,yes,0.06666666666666668,0.5372780116773314,0.5647195638943504,-0.0274,2.878599219394298e-06,yes,0.04666666666666667,0.30657937886927045,0.3543376403318532,-0.0478,1.7343976283205784e-06,yes,0.004444444444444445,0.8082988117458284,0.8438564035207924,-0.0356,1.7343976283205784e-06,yes,0.0,0.466572286890668,0.5045753453143776,-0.038,2.3534209951215342e-06,yes,0.04666666666666667,0.6237222353174295,0.6460079594963737,-0.0223,1.7343976283205784e-06,yes,0.012222222222222223
9,0.5652789169639334,0.5676574861590457,-0.0024,0.27115519770883223,no,,0.7844675017306278,0.7852637761306185,-0.0008,0.517047890994101,no,,0.6634247956498718,0.6651132799832222,-0.0017,0.008216736457590426,yes,0.27111111111111114,0.3605060067688966,0.3637744825103454,-0.0033,1.6394463016779888e-05,yes,0.12444444444444445,0.6452424707015666,0.6468891922042277,-0.0016,0.01479542424774514,yes,0.2933333333333333,0.7065009964692687,0.7076962878439242,-0.0012,0.0015927015020870082,yes,0.27444444444444444,0.6748468440293107,0.6764579333983527,-0.0016,0.0001477276174888222,yes,0.17666666666666667
10,0.7190673111340071,0.7234934075902557,-0.0044,0.0368261284160903,yes,0.3588888888888889,0.8246649628419706,0.8186043912433677,0.0061,0.0977721901049929,no,,0.7674408240755154,0.7669013932666366,0.0005,0.4779474385527233,no,,0.5501041891061846,0.5479435484771571,0.0022,0.2536440975460013,no,,0.7500941113899489,0.7523032529845319,-0.0022,0.024307541573261,yes,0.3488888888888889,0.7833389987461706,0.7816331028025867,0.0017,0.17790738330384115,no,,0.7718586761867814,0.7710412288966428,0.0008,0.3086148505260177,no,
11,0.6347442847392261,0.6642910115436839,-0.0295,1.7343976283205784e-06,yes,0.0011111111111111113,0.7367521746950414,0.7178601883054699,0.0189,1.92092110490314e-06,yes,0.9855555555555556,0.6769403481685222,0.6864528813774453,-0.0095,1.7343976283205784e-06,yes,0.0011111111111111113,0.380179368787591,0.3868916966458488,-0.0067,1.0246327832617613e-05,yes,0.09111111111111113,0.6738135951760772,0.6846727933725673,-0.0109,1.7343976283205784e-06,yes,0.0033333333333333327,0.6980820857068218,0.6972706001509571,0.0008,0.13590778549641164,no,,0.6857443427634483,0.6910656615312422,-0.0053,2.3534209951215342e-06,yes,0.015555555555555557
12,0.5697412882459396,0.6088384685665975,-0.0391,1.7343976283205784e-06,yes,0.004444444444444445,0.7742858494856787,0.7394771328978492,0.0348,1.7343976283205784e-06,yes,1.0,0.6561716538511821,0.6644223085854102,-0.0083,4.729202337447058e-06,yes,0.11333333333333333,0.35853730315839244,0.3571732355607527,0.0014,0.205888223056074,no,,0.6498592243429681,0.6618145749896247,-0.012,1.7343976283205784e-06,yes,0.0,0.7010180228284643,0.6931588257932325,0.0079,1.7343976283205784e-06,yes,0.9866666666666668,0.6720277869026354,0.6741502798414056,-0.0021,0.004991554012370142,yes,0.2855555555555556
13,0.6396993160899745,0.6259695264392158,0.0137,3.5152372790448263e-06,yes,0.9211111111111112,0.7015531788108499,0.7085011746697795,-0.0069,0.0002051529226187778,yes,0.20333333333333334,0.6633053909725721,0.6582797624481737,0.005,3.1816794109698553e-06,yes,0.8988888888888888,0.34720776589867114,0.3417048842893568,0.0055,5.3069919380911025e-05,yes,0.8377777777777777,0.665638981501814,0.6600076503703275,0.0056,5.216493447033368e-06,yes,0.8944444444444445,0.6769152356494694,0.6762484260020011,0.0007,0.3933343721992797,no,,0.6706202028354087,0.6672294466612476,0.0034,1.360110796799097e-05,yes,0.8655555555555555
14,0.5637998607846316,0.6017505496810236,-0.038,1.6394463016779888e-05,yes,0.06777777777777777,0.8142261039639201,0.7895782653953334,0.0246,2.1630223983536906e-05,yes,0.9255555555555556,0.6717278944369275,0.6842623776000903,-0.0125,1.0246327832617613e-05,yes,0.06111111111111111,0.39514426142420506,0.4025612134398935,-0.0074,1.360110796799097e-05,yes,0.13,0.6553017559330392,0.66836718387339,-0.0131,1.2380795614564473e-05,yes,0.06555555555555556,0.7222436431420584,0.720123093847746,0.0021,0.017518393579685057,yes,0.6877777777777778,0.6890052870786153,0.6956573668506331,-0.0067,5.216493447033368e-06,yes,0.07
15,0.6973773524843646,0.7134201807594601,-0.016,0.00024117961055875127,yes,0.20444444444444448,0.7576127401209592,0.7504514217313064,0.0072,0.04716174720825457,yes,0.6122222222222222,0.7172009224760342,0.7214005897044076,-0.0042,0.0001149921754357011,yes,0.21777777777777774,0.4657563625656751,0.4747533172510573,-0.009000000000000001,0.0003317258310763792,yes,0.24444444444444444,0.7198667899033586,0.7305154202668073,-0.0106,5.216493447033368e-06,yes,0.11222222222222222,0.7293048590761991,0.7305000107885465,-0.0012,0.3285710735610371,no,,0.727488086458038,0.7319281287112501,-0.0044,0.0001477276174888222,yes,0.21444444444444444
16,0.6673726664695249,0.670756294162224,-0.0034,0.1020106952499886,no,,0.6911889736084453,0.6907760721036993,0.0004,0.6732798065233047,no,,0.6748107544545513,0.6767613324327667,-0.002,0.003378854437718857,yes,0.32,0.3623357395315698,0.3648619283610714,-0.0025,0.049498046027749744,yes,0.3688888888888889,0.6786178815906424,0.6808362933695188,-0.0022,0.010444400581851143,yes,0.3144444444444445,0.6810526169575072,0.682335011415353,-0.0013,0.2288804222849652,no,,0.6792759100583016,0.6807612844662436,-0.0015,0.01479542424774514,yes,0.3422222222222222
17,0.9665692189395022,0.9803595081312882,-0.0138,1.7343976283205784e-06,yes,0.0,0.11078706405027612,0.08022824777348013,0.0306,1.7343976283205784e-06,yes,0.9977777777777778,0.2925012298591556,0.22299290613073336,0.0695,1.7343976283205784e-06,yes,1.0,0.14355405655052295,0.12927579147840826,0.0143,4.449337283453103e-05,yes,0.8488888888888889,0.7922224825738201,0.9061086906598604,-0.1139,1.92092110490314e-06,yes,0.027777777777777776,0.1798237570260596,0.12917468837702778,0.0506,1.7343976283205784e-06,yes,1.0,0.5386629055947929,0.5302829970139988,0.0084,1.92092110490314e-06,yes,0.9711111111111111
18,0.6329970963547471,0.6443368757599298,-0.0113,6.892290296834955e-05,yes,0.18,0.7469303148576698,0.7392640589844408,0.0077,0.0003317258310763792,yes,0.8211111111111111,0.6785679491421692,0.6714938160742908,0.0071,3.405256723280537e-05,yes,0.9133333333333332,0.3862857274017071,0.3897050792138416,-0.0034,0.011079229099818106,yes,0.3422222222222222,0.6711447664844994,0.673714759192333,-0.0026,0.0858958258699641,no,,0.7057760158977282,0.7077098973242079,-0.0019,0.04716174720825457,yes,0.3533333333333333,0.6899604535335501,0.6917941677667396,-0.0018,0.010444400581851143,yes,0.3322222222222222
19,0.7100213134305642,0.7048709163874247,0.0052,0.11560818762398352,no,,0.5204791318734061,0.5341169679848641,-0.0136,0.011748106348302898,yes,0.2788888888888889,0.525036412866209,0.5277426359848703,-0.0027,0.24519030932096386,no,,0.23318958629426395,0.2409589604811974,-0.0078,0.0427666880169531,yes,0.3488888888888889,0.6362623778637004,0.6331538923582731,0.0031,0.13590778549641164,no,,0.6139468019004787,0.6224144545384058,-0.0085,0.040702311426277726,yes,0.3511111111111111,0.6151876283175695,0.6194515263937309,-0.0043,0.03000989131308078,yes,0.3288888888888889
20,0.8543319574417727,0.8454582321575058,0.0089,0.0002830789435165413,yes,0.7688888888888888,0.4542105704361687,0.4744458752405363,-0.0202,0.0006639212842644785,yes,0.1855555555555556,0.6174422961229329,0.6275138900398521,-0.0101,0.0009626589290659114,yes,0.22333333333333333,0.3429076493906599,0.3502600325458808,-0.0074,0.0752133122154768,no,,0.7668447445197429,0.7627622297303991,0.0041,0.11560818762398352,no,,0.5647595688506114,0.5790647941457864,-0.0143,0.0007712173652095512,yes,0.21333333333333332,0.6543586018777329,0.6600440936001151,-0.0057,0.004114030779322713,yes,0.28
21,0.6278965486574274,0.7054956938170671,-0.0776,1.7343976283205784e-06,yes,0.0,0.776113929669695,0.7075028216649532,0.0686,1.7343976283205784e-06,yes,1.0,0.6960724308382192,0.7040434799452122,-0.008,1.7343976283205784e-06,yes,0.0,0.4107404318550048,0.41573209908261816,-0.005,5.3069919380911025e-05,yes,0.14333333333333334,0.6779463435782653,0.7088663330842785,-0.0309,1.7343976283205784e-06,yes,0.0,0.7222068062300517,0.7058670237001579,0.0163,1.7343976283205784e-06,yes,1.0,0.7020026098102494,0.7064989673878138,-0.0045,1.7343976283205784e-06,yes,0.012222222222222223
22,,,,0.0005044937133789061,yes,0.5599173553719008,,,,0.022916316986083984,yes,0.4607438016528926,,,,0.017200946807861328,yes,0.5247933884297521,,,,0.017200946807861328,yes,0.5268595041322314,,,,0.0006937980651855469,yes,0.5619834710743802,,,,0.32088327407836914,no,,,,,0.004151344299316406,yes,0.5289256198347108
