,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,-0.0332,0.0265,-0.0014,-0.009,-0.0151,0.008,-0.0035
BroadleafCommerce,-0.0257,0.0213,-0.0043,-0.0036,-0.0094,0.0057,-0.0022
camel,0.0019,-0.0036,-0.0009,-0.0016,0.0006,-0.0017,-0.0009
corefx-v-6.2,-0.0301,0.015,-0.0008,-0.0235,-0.0347,0.0045,-0.0075
django,-0.0033,0.0014,-0.0012,-0.0015,-0.0016,-0.0003,-0.0009
elasticsearch,-0.0096,0.0118,0.0,0.0035,-0.0026,0.0039,0.0011
fabric8,-0.0126,0.0086,-0.0024,-0.0041,-0.0065,0.001,-0.002
godot,-0.0247,0.0256,-0.0017,0.0034,-0.0058,0.0077,0.0005
vscode,-0.0135,-0.0311,-0.0274,-0.0478,-0.0356,-0.038,-0.0223
pytorch,-0.0024,-0.0008,-0.0017,-0.0033,-0.0016,-0.0012,-0.0016
spring-boot,-0.0044,0.0061,0.0005,0.0022,-0.0022,0.0017,0.0008
node,-0.0295,0.0189,-0.0095,-0.0067,-0.0109,0.0008,-0.0053
nova,-0.0391,0.0348,-0.0083,0.0014,-0.012,0.0079,-0.0021
tomcat,0.0137,-0.0069,0.005,0.0055,0.0056,0.0007,0.0034
pandas,-0.038,0.0246,-0.0125,-0.0074,-0.0131,0.0021,-0.0067
security,-0.016,0.0072,-0.0042,-0.009,-0.0106,-0.0012,-0.0044
rails,-0.0034,0.0004,-0.002,-0.0025,-0.0022,-0.0013,-0.0015
rust,-0.0138,0.0306,0.0695,0.0143,-0.1139,0.0506,0.0084
wp-calypso,-0.0113,0.0077,0.0071,-0.0034,-0.0026,-0.0019,-0.0018
npm,0.0052,-0.0136,-0.0027,-0.0078,0.0031,-0.0085,-0.0043
Mybatis3,0.0089,-0.0202,-0.0101,-0.0074,0.0041,-0.0143,-0.0057
tensorflow,-0.0776,0.0686,-0.008,-0.005,-0.0309,0.0163,-0.0045
