,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,0.6734862115441319,0.6228936552148819,0.644250133165879,0.2994174742390683,0.6606954241045707,0.6380334186426779,0.6481593408761381
BroadleafCommerce,0.6311506393416743,0.6817046900426446,0.6501055678985611,0.31602370024546844,0.6508081189604399,0.6643363668788229,0.6563779589528272
camel,0.7083888146306453,0.7461665735766264,0.7223874462835731,0.4603528275022216,0.7260678848040566,0.7316101783168473,0.7272834026689601
corefx-v-6.2,0.8456216632653467,0.3834313248212296,0.5320027288477692,0.2537760891554121,0.7188680431977764,0.5218439086886156,0.6144274949426106
django,0.7374739276955752,0.6918986753756587,0.7085338072950971,0.4359909127850435,0.7321986326786809,0.7051794900849563,0.7146990822698671
elasticsearch,0.6429738634638421,0.8021824916011119,0.7159056069496966,0.4535875241683748,0.6944831631816881,0.742518011172948,0.722575124133465
fabric8,0.687144578837985,0.6817862579188044,0.6756763684761842,0.3765941803184199,0.6943745668956564,0.6792019971514364,0.6844376164214798
godot,0.5994905440304196,0.7184041942518546,0.6504164351378453,0.3252064903890093,0.6463070619467997,0.675195803021453,0.6589673067009721
vscode,0.923854263848346,0.32364848351530395,0.5372780116773314,0.30657937886927045,0.8082988117458284,0.466572286890668,0.6237222353174295
pytorch,0.5652789169639334,0.7844675017306278,0.6634247956498718,0.3605060067688966,0.6452424707015666,0.7065009964692687,0.6748468440293107
spring-boot,0.7190673111340071,0.8246649628419706,0.7674408240755154,0.5501041891061846,0.7500941113899489,0.7833389987461706,0.7718586761867814
node,0.6347442847392261,0.7367521746950414,0.6769403481685222,0.380179368787591,0.6738135951760772,0.6980820857068218,0.6857443427634483
nova,0.5697412882459396,0.7742858494856787,0.6561716538511821,0.35853730315839244,0.6498592243429681,0.7010180228284643,0.6720277869026354
tomcat,0.6396993160899745,0.7015531788108499,0.6633053909725721,0.34720776589867114,0.665638981501814,0.6769152356494694,0.6706202028354087
pandas,0.5637998607846316,0.8142261039639201,0.6717278944369275,0.39514426142420506,0.6553017559330392,0.7222436431420584,0.6890052870786153
security,0.6973773524843646,0.7576127401209592,0.7172009224760342,0.4657563625656751,0.7198667899033586,0.7293048590761991,0.727488086458038
rails,0.6673726664695249,0.6911889736084453,0.6748107544545513,0.3623357395315698,0.6786178815906424,0.6810526169575072,0.6792759100583016
rust,0.9665692189395022,0.11078706405027612,0.2925012298591556,0.14355405655052295,0.7922224825738201,0.1798237570260596,0.5386629055947929
wp-calypso,0.6329970963547471,0.7469303148576698,0.6785679491421692,0.3862857274017071,0.6711447664844994,0.7057760158977282,0.6899604535335501
npm,0.7100213134305642,0.5204791318734061,0.525036412866209,0.23318958629426395,0.6362623778637004,0.6139468019004787,0.6151876283175695
Mybatis3,0.8543319574417727,0.4542105704361687,0.6174422961229329,0.3429076493906599,0.7668447445197429,0.5647595688506114,0.6543586018777329
tensorflow,0.6278965486574274,0.776113929669695,0.6960724308382192,0.4107404318550048,0.6779463435782653,0.7222068062300517,0.7020026098102494
