,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,yes,yes,no,yes,yes,yes,yes
BroadleafCommerce,yes,yes,yes,yes,yes,yes,yes
camel,no,no,no,no,no,no,no
corefx-v-6.2,yes,yes,no,yes,yes,no,yes
django,yes,no,yes,yes,no,no,yes
elasticsearch,yes,yes,no,yes,yes,yes,yes
fabric8,yes,yes,yes,yes,yes,no,yes
godot,yes,yes,yes,yes,yes,yes,no
vscode,yes,yes,yes,yes,yes,yes,yes
pytorch,no,no,yes,yes,yes,yes,yes
spring-boot,yes,no,no,no,yes,no,no
node,yes,yes,yes,yes,yes,no,yes
nova,yes,yes,yes,no,yes,yes,yes
tomcat,yes,yes,yes,yes,yes,no,yes
pandas,yes,yes,yes,yes,yes,yes,yes
security,yes,yes,yes,yes,yes,no,yes
rails,no,no,yes,yes,yes,no,yes
rust,yes,yes,yes,yes,yes,yes,yes
wp-calypso,yes,yes,yes,yes,no,yes,yes
npm,no,yes,no,yes,no,yes,yes
Mybatis3,yes,yes,yes,no,no,yes,yes
tensorflow,yes,yes,yes,yes,yes,yes,yes
cross_project,yes,yes,yes,yes,yes,no,yes
