,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,-0.0498,0.0382,-0.0029,-0.0148,-0.023,0.011,-0.0059
BroadleafCommerce,-0.013,0.0077,-0.0035,-0.0052,-0.006,0.001,-0.0027
camel,-0.0053,0.0068,0.0012,0.0011,-0.0021,0.0029,0.0008
corefx-v-6.2,-0.033,0.0177,0.0002,-0.0243,-0.0368,0.0061,-0.0076
django,0.0012,-0.003,-0.001,-0.0017,-0.0003,-0.0017,-0.0009
elasticsearch,-0.0461,0.0401,-0.0052,-0.0035,-0.0192,0.0086,-0.003
fabric8,-0.0015,-0.0002,-0.0011,-0.002,-0.0018,-0.001,-0.0009
godot,-0.0842,0.0923,0.0093,0.0038,-0.0318,0.0367,0.004
vscode,-0.0129,-0.0218,-0.0202,-0.0387,-0.0316,-0.0282,-0.0174
pytorch,0.0324,-0.0315,0.0019,-0.0007,0.0102,-0.0096,0.0004
spring-boot,-0.0166,0.0189,0.0004,0.0036,-0.0082,0.0047,0.0012
node,-0.0542,0.0494,-0.0058,-0.002,-0.0195,0.0123,-0.0024
nova,-0.0173,0.0096,-0.0068,-0.0048,-0.0072,-0.0007,-0.0038
tomcat,0.0302,-0.0221,0.0047,0.0076,0.0129,-0.0043,0.004
pandas,-0.0304,0.0357,0.0046,0.0043,-0.0105,0.0155,0.0027
security,-0.0111,0.0069,-0.0024,-0.0038,-0.0068,-0.0,-0.0021
rails,-0.0277,0.0374,0.0097,0.0055,-0.0114,0.0186,0.0048
rust,-0.018,0.0458,0.0968,0.0279,-0.1304,0.0734,0.0139
wp-calypso,-0.0186,0.0109,0.0047,-0.0071,-0.0078,-0.0027,-0.0039
npm,0.0033,0.0005,0.0017,0.0048,0.0053,0.0044,0.0019
Mybatis3,-0.0035,-0.0151,-0.0117,-0.019,-0.0122,-0.0151,-0.0093
tensorflow,-0.1357,0.1483,0.015,0.0039,-0.0597,0.0559,0.0063
