,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,0.6660226115536593,0.623542864179468,0.6402476052383819,0.2929837594284753,0.6567558878187966,0.6357802663647772,0.6447514460659036
BroadleafCommerce,0.6557878143705784,0.6428954728937165,0.6431567085795209,0.30185224998054777,0.6542623729608464,0.6462521188474244,0.6492957122589629
camel,0.771085641404758,0.6608262354662142,0.7077150685792698,0.4415223480704553,0.7514559696326313,0.6958277507436856,0.7159609941025006
corefx-v-6.2,0.8442832618023892,0.3792846386072328,0.5287729882314156,0.24883337730895375,0.7167481123379309,0.5173565505700073,0.6116840928195839
django,0.7728791063175665,0.6550899579536262,0.7068682906360912,0.4360502727013617,0.7493364363755908,0.6935176597231045,0.7139979264565265
elasticsearch,0.670347600101687,0.7622324952929496,0.7099551952017976,0.4393737451904396,0.7026739943117261,0.7257043482299251,0.7162863776527917
fabric8,0.6874750772913832,0.6688197820507645,0.6685534637863219,0.3643913554156781,0.6911591494004522,0.6701879796206515,0.6781196570839676
godot,0.6612643229589944,0.6652458803648224,0.6573971631055754,0.3314234809990911,0.6665062982645933,0.6600695706308067,0.6632715096875902
vscode,0.9262171062040572,0.3169078462594482,0.5325517630091015,0.3039115447165188,0.8109017846326346,0.4595011018403141,0.6215342420461734
pytorch,0.6641646703482447,0.6908592497998597,0.6748990399656803,0.3574993491764637,0.674170320680965,0.6802114437420154,0.6774951735673991
spring-boot,0.7271983136719802,0.8102617405868134,0.7650475960251649,0.5426309693368695,0.7518572870412144,0.7776397502278701,0.7687228498952725
node,0.6604246290613737,0.7117730873799399,0.6792290615252823,0.3783320881308959,0.6821497558801276,0.6908106338520833,0.6860946024413016
nova,0.6163365166619192,0.7266807864028146,0.6617150518281419,0.3523827855837152,0.6610107161198737,0.6862968000776976,0.6715219954081315
tomcat,0.6843965702243382,0.6561685250281896,0.6636164697848026,0.3455722995416738,0.6812492540368685,0.6618120248758166,0.6702755838097824
pandas,0.6901801394926712,0.6832124832990208,0.6782940702070364,0.3810515118318317,0.6922766870756317,0.6798676813189845,0.6866908456584154
security,0.7308526820490592,0.7119687592552043,0.7109553471451682,0.4518757533280686,0.7300625373604231,0.7105866333791796,0.7213999832704006
rails,0.7321812013235707,0.6049732262061925,0.6614014337834161,0.3431992534400655,0.6974178846228353,0.6435137930113579,0.668573338039965
rust,0.9671087765959274,0.10675909995620897,0.2919583771438708,0.1400172418054354,0.7842558862267818,0.17666140885717865,0.5369190021050764
wp-calypso,0.6910593773509517,0.6848065142761854,0.6785638919793586,0.3789354704953976,0.6902459871154856,0.6850089779644585,0.6879302082402632
npm,0.7409520774022218,0.4777266899832128,0.5119941348858303,0.22166330449406796,0.6390225469810334,0.5850236537653634,0.6092834660234271
Mybatis3,0.8442455582636968,0.430686968302695,0.5973493804653711,0.3072621482379341,0.7416464133257242,0.5394017141940799,0.6375516622755573
tensorflow,0.6653093947320581,0.7282963962104023,0.6937072867884353,0.396985720209364,0.6873390818823272,0.7051469945799771,0.6968005304841591
