,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,1.7343976283205784e-06,1.9209211049031396e-06,0.06564114341025874,1.360110796799097e-05,1.7343976283205784e-06,3.4052567232805375e-05,0.00016046383716795338
BroadleafCommerce,0.0011973381999984532,0.016565526979430395,0.02182672159602272,0.02702915661831454,0.0011973381999984532,0.3933343721992797,0.024307541573260996
camel,0.00030649986921763576,0.0027652741969916386,0.30861485052601767,0.5440062075841892,0.005319684023981225,0.02182672159602272,0.4528065046691958
corefx-v-6.2,1.9209211049031396e-06,0.00041955098606127764,0.8936443871266052,4.285685869189864e-06,1.7343976283205784e-06,0.11560818762398352,0.0001149921754357011
django,0.6435165948165775,0.2622987191194901,0.025637124030657623,0.03000989131308078,0.8936443871266052,0.09367559653193051,0.018518974697467713
elasticsearch,1.7343976283205784e-06,1.7343976283205784e-06,0.00012505680433316804,0.028485956184747342,1.7343976283205784e-06,9.315658591105142e-06,0.0019645813713265476
fabric8,0.41653380739187873,0.7035636998700077,0.22102157481330342,0.2802144081140372,0.0858958258699641,0.3184906025782175,0.2894770717054542
godot,1.7343976283205784e-06,1.7343976283205784e-06,1.9209211049031396e-06,0.010444400581851145,1.7343976283205784e-06,1.7343976283205784e-06,2.1630223983536902e-05
vscode,1.7343976283205784e-06,5.751653269401829e-06,2.3534209951215346e-06,1.7343976283205784e-06,1.7343976283205784e-06,2.1266360107314253e-06,1.7343976283205784e-06
pytorch,1.7343976283205784e-06,1.7343976283205784e-06,0.00033172583107637916,0.46528258187908456,1.9209211049031396e-06,1.7343976283205784e-06,0.3184906025782175
spring-boot,1.2380795614564472e-05,0.0001149921754357011,0.6732798065233047,0.1305916349444668,6.339135573122464e-06,0.010444400581851145,0.2369361866168309
node,1.7343976283205784e-06,1.7343976283205784e-06,2.603328389538926e-06,0.07864666027410346,1.7343976283205784e-06,1.7343976283205784e-06,0.00013594767036744938
nova,6.319756764397932e-05,0.0007712173652095513,1.798848069179905e-05,0.005319684023981225,1.9729484515803686e-05,0.4405215911492053,0.0003881114287747714
tomcat,1.7343976283205784e-06,2.878599219394298e-06,8.466081690383873e-06,1.2380795614564472e-05,1.9209211049031396e-06,0.0008944300647461546,8.466081690383873e-06
pandas,2.5967125848447383e-05,5.7924461897570095e-05,0.018518974697467713,0.049498046027749744,5.7924461897570095e-05,0.0002830789435165413,0.03500895681985013
security,0.025637124030657623,0.2894770717054542,0.2369361866168309,0.6143145637885868,0.003378854437718857,0.7498711559507313,0.4405215911492053
rails,2.878599219394298e-06,1.7343976283205784e-06,7.690859302848516e-06,0.007271049691046206,6.339135573122464e-06,2.603328389538926e-06,0.00030649986921763576
rust,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06
wp-calypso,1.0246327832617613e-05,0.0005287248371505039,1.798848069179905e-05,4.729202337447058e-06,1.360110796799097e-05,0.017518393579685057,3.181679410969855e-06
npm,0.2802144081140372,0.6288430020541073,0.7970983030067952,0.1470395786434527,0.1915221065809437,0.198610209945546,0.24519030932096386
Mybatis3,0.05709649524315731,9.711048976071607e-05,7.690859302848516e-06,6.983783147477089e-06,2.1266360107314253e-06,7.690859302848516e-06,5.216493447033368e-06
tensorflow,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,0.005319684023981225,1.7343976283205784e-06,1.7343976283205784e-06,1.9209211049031396e-06
cross_project,0.0016727447509765625,0.014094829559326172,0.8237285614013672,0.46277761459350586,0.0006937980651855469,0.09173250198364258,0.5660676956176758
