,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,yes,yes,no,yes,yes,yes,yes
BroadleafCommerce,yes,yes,yes,yes,yes,no,yes
camel,yes,yes,no,no,yes,yes,no
corefx-v-6.2,yes,yes,no,yes,yes,no,yes
django,no,no,yes,yes,no,no,yes
elasticsearch,yes,yes,yes,yes,yes,yes,yes
fabric8,no,no,no,no,no,no,no
godot,yes,yes,yes,yes,yes,yes,yes
vscode,yes,yes,yes,yes,yes,yes,yes
pytorch,yes,yes,yes,no,yes,yes,no
spring-boot,yes,yes,no,no,yes,yes,no
node,yes,yes,yes,no,yes,yes,yes
nova,yes,yes,yes,yes,yes,no,yes
tomcat,yes,yes,yes,yes,yes,yes,yes
pandas,yes,yes,yes,yes,yes,yes,yes
security,yes,no,no,no,yes,no,no
rails,yes,yes,yes,yes,yes,yes,yes
rust,yes,yes,yes,yes,yes,yes,yes
wp-calypso,yes,yes,yes,yes,yes,yes,yes
npm,no,no,no,no,no,no,no
Mybatis3,no,yes,yes,yes,yes,yes,yes
tensorflow,yes,yes,yes,yes,yes,yes,yes
cross_project,yes,yes,no,no,yes,no,no
