,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,0.6507814476394723,0.6379758680048355,0.6349346443999306,0.2928565050112335,0.6536361242952677,0.6415472482845924,0.6442289970043084
BroadleafCommerce,0.755460783973103,0.512711249190159,0.6119458218281643,0.27719125343907697,0.6762598690594985,0.5836935309581383,0.6337022067255569
camel,0.7388566509436795,0.6876917195401802,0.7088390069156619,0.4310353523751809,0.7303421264159025,0.7049611898882857,0.7132702523009357
corefx-v-6.2,0.9543762913786054,0.2095999996455392,0.4391227008305558,0.24681106771143715,0.8351092505416889,0.3301216803613535,0.5819797309586563
django,0.8036115189893404,0.5625145198344375,0.6626133630985491,0.3809366917499683,0.7441235648696246,0.6312349967236803,0.6830597364215678
elasticsearch,0.691301134703837,0.7356773792008953,0.7030278423700302,0.4342728605929303,0.7099915373505379,0.7125362132522063,0.713486912783837
fabric8,0.7329719604803108,0.6067430806783157,0.6576138331839962,0.3485186793250034,0.7018311710740494,0.644089966160011,0.6698357490310445
godot,0.6004212788185349,0.7143879583978882,0.6474752801724862,0.32287681984904737,0.6460249866827261,0.6718753623602124,0.6574160825654359
vscode,0.9579080666093156,0.2436192193642571,0.4775308826624165,0.29087473691482,0.8654604114144767,0.3746118529044118,0.600763022302181
pytorch,0.675745783830688,0.6584553395291375,0.6610848709346371,0.3378749702510381,0.6710425210866116,0.6597629026143411,0.6670626022475504
spring-boot,0.7803884109422939,0.7161380076216942,0.7404043253855862,0.5036074329246729,0.7701157192031363,0.7342476131083683,0.7482595136103959
node,0.6858575790773142,0.6621649495608515,0.6692221404290214,0.3520121767272465,0.6820017049459619,0.6679807970925961,0.6740067806695492
nova,0.5780870175187626,0.7630459451880678,0.656830048337999,0.3527756444327196,0.6497934202787751,0.6975082614810479,0.6705515738209976
tomcat,0.6795803048506549,0.5937018612237621,0.625121572138999,0.27874426639803196,0.6516288350562796,0.6126809178768468,0.6366098992456376
pandas,0.7966771558489059,0.494017796686668,0.6062528983893973,0.3117193220818665,0.7117315902752023,0.5607348557930761,0.6453336508950503
security,0.8215758759972719,0.5827976466077704,0.6788106199324125,0.4217301568094949,0.7715932153447398,0.6569813828211912,0.7021185720019012
rails,0.7898982820394373,0.4902708427904001,0.6154294188339111,0.2970770380376251,0.7065252954789156,0.5719235675083707,0.6400812674253011
rust,0.9835484514825008,0.06733897847546895,0.2071240025537722,0.11762661441190235,0.8837151001700404,0.10712065270953723,0.5254436625227042
wp-calypso,0.7297704357382587,0.6454092615884991,0.6812489825135745,0.37800197439841576,0.7068257025212563,0.6724146469869325,0.6870518060071362
npm,0.7265943683721073,0.4386480724209727,0.5535602758663747,0.1761261354346482,0.6234536115888341,0.5069102494597902,0.5825868513667941
Mybatis3,0.8124990180539082,0.43001145438789795,0.5743126011893653,0.26052310887872376,0.6960798384397364,0.5390538706351592,0.6210727408269067
tensorflow,0.6996615831916542,0.6815516221797616,0.6865606519784422,0.3852929961461989,0.6968802959225289,0.6853976773953939,0.6906055491402537
