,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,0.7758538784771066,0.5268973162078243,0.6331496559413269,0.3167099715488163,0.7093613118195683,0.6003525007238244,0.6512795374635236
BroadleafCommerce,0.8669523267746271,0.3373404515598485,0.5277260680627232,0.2396001972246473,0.7147426452276439,0.4534882109422508,0.6019375678209469
camel,0.8601943065111615,0.4640989433682438,0.6263679814110605,0.3553442034977461,0.7726332465891587,0.5740963824867354,0.6621445194005608
corefx-v-6.2,0.9675343673612996,0.16228738131263185,0.3826039848269677,0.21581299325606426,0.8449492970367367,0.2660488235152817,0.5649048865773494
django,0.9336257700902206,0.2544533275284723,0.4624927079498372,0.25774028507007063,0.8150052518015926,0.3638143788472911,0.5940384392434838
elasticsearch,0.8259908362683314,0.5441066071493648,0.6628797241506119,0.3900582439239646,0.7637906962488081,0.6266942773191455,0.6850474003343588
fabric8,0.7661927555377386,0.5541636184492933,0.6450422944588472,0.33141595260663315,0.7086601063534013,0.6174537049911805,0.6601591240302496
godot,0.855494197032177,0.43040217103988093,0.6025661044943958,0.3172632979410876,0.7515736626786897,0.5423894183059853,0.6429550908042914
vscode,0.9761635949657934,0.16024123245574545,0.3906596798568314,0.2392583413902308,0.8875188819939749,0.26764203026767586,0.5682020622208651
pytorch,0.8662123108962766,0.3782786513265311,0.5610696685944782,0.2802276428652017,0.738769608769321,0.4885033842434567,0.6222298190028415
spring-boot,0.7978844570904202,0.6836432325729417,0.7318624593869639,0.4898979457856421,0.7755020915236284,0.7191410294152031,0.7407604435873536
node,0.8251021114584329,0.4553698147503952,0.6068099014119598,0.30645204947454746,0.7317213790852891,0.5537581949333785,0.6402334668454429
nova,0.7636640292865965,0.5353247145737879,0.6336725515265453,0.3096236098028606,0.6969130084034612,0.6005660879967922,0.6494860214259625
tomcat,0.8341665815769139,0.3545392704197999,0.5341370192414084,0.21660076406207895,0.6849407296475349,0.4581934245105516,0.5943367868070589
pandas,0.9212264220744992,0.2340414625932561,0.4315908760976525,0.2096448271023972,0.752392046924943,0.3292687382354133,0.5776285859555466
security,0.8872172310109375,0.4457901729431634,0.6200379067074236,0.374046931336895,0.8073185715948523,0.570652764268787,0.6664605991837348
rails,0.8914814993049036,0.30683853754998364,0.5165163614462348,0.24787891935419976,0.749461161813907,0.4287856442113369,0.5991583165501979
rust,0.9949738748243602,0.026043045484349985,0.1041213195644348,0.06503010423832603,0.9417580757784256,0.041572557862903,0.5105084441283967
wp-calypso,0.8472552763456105,0.4726795850744914,0.628297575246836,0.3470774661734473,0.7615829074777086,0.5799541038583821,0.6596633071510073
npm,0.8424935851637874,0.3258304618792411,0.5119699902073828,0.19768972814184524,0.6780807099984943,0.4286922676092968,0.5841422238464877
Mybatis3,0.8172230518554924,0.4384202694682247,0.5848361075798201,0.27648537738720624,0.7122057313980547,0.5472387608348889,0.6276437631873015
tensorflow,0.8046976992761591,0.5411542496048155,0.6539859405600159,0.3623871500897232,0.7387192941823983,0.6176825431492212,0.6729252893471405
