,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,2.878599219394298e-06,1.7343976283205784e-06,1.7343976283205784e-06,0.0007712173652095513,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06
BroadleafCommerce,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,0.013974564120258317,1.7343976283205784e-06,1.7343976283205784e-06
camel,1.7343976283205784e-06,0.00030649986921763576,0.0977721901049929,0.004991554012370142,2.878599219394298e-06,0.004991554012370142,0.29894375201959067
corefx-v-6.2,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06
django,0.00041955098606127764,0.22102157481330342,0.06268281249957977,0.00041955098606127764,5.751653269401829e-06,0.10639417319061394,0.019569215233846395
elasticsearch,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06
fabric8,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,2.3534209951215346e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06
godot,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06
vscode,1.360110796799097e-05,0.9426105124576512,0.33885615524718515,0.008729667753602288,1.7343976283205784e-06,0.5857115693468691,0.2288804222849652
pytorch,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,0.6143145637885868,1.7343976283205784e-06,1.7343976283205784e-06
spring-boot,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06
node,1.7343976283205784e-06,1.7343976283205784e-06,2.878599219394298e-06,0.10639417319061394,1.7343976283205784e-06,1.7343976283205784e-06,7.513662254944795e-05
nova,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06
tomcat,0.051930665029697155,0.10639417319061394,0.27115519770883223,0.2802144081140372,0.02182672159602272,0.17790738330384115,0.8290130316946699
pandas,0.10639417319061394,0.34934556237492975,0.8290130316946699,0.8290130316946699,0.5304400912497492,0.7812637101499429,0.5304400912497492
security,1.798848069179905e-05,0.0011138009078172067,0.011748106348302898,0.21335807338945145,0.004681835234144671,0.007730944211317755,0.040702311426277726
rails,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06
rust,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06
wp-calypso,5.216493447033368e-06,6.983783147477089e-06,4.729202337447058e-06,8.187753439649276e-05,0.000489690070533264,5.751653269401829e-06,2.8434237746031825e-05
npm,0.00022248266458074938,0.008216736457590426,0.13590778549641166,0.5577426862039239,0.013974564120258317,0.05983560139134924,0.7655192919016102
Mybatis3,1.7343976283205784e-06,1.9209211049031396e-06,5.306991938091102e-05,0.11560818762398352,1.7343976283205784e-06,1.360110796799097e-05,0.27115519770883223
tensorflow,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06
cross_project,0.0005927085876464844,0.0019183158874511719,0.007443428039550781,0.12067747116088867,0.011472702026367188,0.003239154815673828,0.015583038330078125
