,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,yes,yes,yes,yes,yes,yes,yes
BroadleafCommerce,yes,yes,yes,yes,yes,yes,yes
camel,yes,yes,no,yes,yes,yes,no
corefx-v-6.2,yes,yes,yes,yes,yes,yes,yes
django,yes,no,no,yes,yes,no,yes
elasticsearch,yes,yes,yes,yes,yes,yes,yes
fabric8,yes,yes,yes,yes,yes,yes,yes
godot,yes,yes,yes,yes,yes,yes,yes
vscode,yes,no,no,yes,yes,no,no
pytorch,yes,yes,yes,yes,no,yes,yes
spring-boot,yes,yes,yes,yes,yes,yes,yes
node,yes,yes,yes,no,yes,yes,yes
nova,yes,yes,yes,yes,yes,yes,yes
tomcat,no,no,no,no,yes,no,no
pandas,no,no,no,no,no,no,no
security,yes,yes,yes,no,yes,yes,yes
rails,yes,yes,yes,yes,yes,yes,yes
rust,yes,yes,yes,yes,yes,yes,yes
wp-calypso,yes,yes,yes,yes,yes,yes,yes
npm,yes,yes,no,no,yes,no,no
Mybatis3,yes,yes,yes,no,yes,yes,no
tensorflow,yes,yes,yes,yes,yes,yes,yes
cross_project,yes,yes,yes,no,yes,yes,yes
