,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,1.0,0.09555555555555556,0.9944444444444445,0.9855555555555555,0.9977777777777778,0.6611111111111111,0.9866666666666667
BroadleafCommerce,0.015555555555555555,0.9844444444444445,0.98,0.9244444444444444,nan,0.9844444444444445,0.9522222222222222
camel,0.25,0.6477777777777778,0.58,nan,0.37666666666666665,0.6066666666666667,nan
corefx-v-6.2,0.02,0.7588888888888888,nan,0.12111111111111111,0.0044444444444444444,nan,0.27666666666666667
django,0.3844444444444444,nan,nan,nan,0.3488888888888889,nan,nan
elasticsearch,0.0,1.0,1.0,1.0,0.0,1.0,1.0
fabric8,nan,nan,nan,nan,nan,nan,nan
godot,0.0,1.0,1.0,1.0,0.0,1.0,1.0
vscode,0.023333333333333334,0.07555555555555556,0.042222222222222223,0.0011111111111111111,0.0,0.043333333333333335,0.008888888888888889
pytorch,0.9633333333333334,nan,nan,0.8822222222222222,0.9866666666666667,nan,0.8144444444444444
spring-boot,0.0,1.0,1.0,1.0,0.0,1.0,1.0
node,0.0,0.9977777777777778,0.9822222222222222,0.78,0.013333333333333334,0.9922222222222222,0.9444444444444444
nova,0.0,1.0,1.0,1.0,0.03,1.0,1.0
tomcat,0.42,0.5688888888888889,nan,nan,nan,nan,nan
pandas,nan,0.6522222222222223,0.7444444444444445,0.7333333333333333,0.66,0.7277777777777777,0.71
security,0.3411111111111111,0.6122222222222222,nan,nan,0.3277777777777778,0.5788888888888889,nan
rails,0.0,1.0,1.0,0.9555555555555556,0.0,1.0,1.0
rust,0.0,1.0,1.0,0.9844444444444445,0.0,1.0,1.0
wp-calypso,0.21,0.7188888888888889,0.7166666666666667,nan,0.16444444444444445,0.7111111111111111,nan
npm,nan,nan,nan,nan,nan,nan,nan
Mybatis3,0.022222222222222223,0.8522222222222222,0.7511111111111111,nan,0.04111111111111111,0.7833333333333333,nan
tensorflow,0.0,1.0,1.0,1.0,0.11777777777777777,1.0,1.0
cross_project,0.6549586776859504,0.39462809917355374,0.40082644628099173,0.4607438016528926,0.5867768595041323,0.390495867768595,0.4256198347107438
