,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,0.7665566568085225,0.5518049539522439,0.6460200474801839,0.3286207911599771,0.7081373945334754,0.6178756209632786,0.6590807610917094
BroadleafCommerce,0.7977973299880721,0.4322757249147757,0.5750007624178458,0.24822684386177654,0.681818259833275,0.5268619909275883,0.6147191657663085
camel,0.8453815323593452,0.5255276957066654,0.6628866493287668,0.39362001573401706,0.7760643360998777,0.6227308033964227,0.6854522854065552
corefx-v-6.2,0.8752785763853108,0.4030121627660542,0.5885787566370398,0.3184860106175255,0.7724658548688718,0.5264054175195556,0.6391223667310469
django,0.9081262702589132,0.3188412630956332,0.5108942816553603,0.28318129561492983,0.7927042516915975,0.42633506106529534,0.6134822308409354
elasticsearch,0.8016519788699966,0.5927023342765761,0.6817132265313296,0.4076790441287633,0.7539541062394008,0.6552083344092555,0.6971756503766616
fabric8,0.7643759736540915,0.5623154206183811,0.6496443326324539,0.3372693262794427,0.7106483924694678,0.6238933542498281,0.6633264860456252
godot,0.7726414233332498,0.564535249761709,0.6558139877213054,0.3472456779916836,0.7153769268583745,0.6258630387380805,0.6685973957818617
vscode,0.9271370076997676,0.33418448284322355,0.5534952664197343,0.3272433300995694,0.8297125150339306,0.4726361399550125,0.6306596708390816
pytorch,0.8402439984458705,0.4283978999519196,0.5914591903210427,0.29532366983266983,0.7273245335411094,0.5309878526238001,0.6343022470607789
spring-boot,0.7781723958491693,0.7233810127872281,0.7434077281075572,0.5084455325500037,0.7686716621965622,0.7376847082192284,0.7507729713550162
node,0.825392068092538,0.4724670701926984,0.6195361118563921,0.32189769334275004,0.7369725128941873,0.5696406243577914,0.6489270770221011
nova,0.7551689528892009,0.547490491983151,0.6378504973851079,0.3119325665360476,0.6943489060918735,0.6077961677520319,0.6513210717737807
tomcat,0.8358923799728861,0.34978486007216864,0.5309962144409106,0.2126626924465795,0.6809876824317976,0.4535069883437437,0.5928226487888749
pandas,0.9225669637877816,0.27130757338635514,0.4757318607311853,0.2566529786987512,0.7920731175947281,0.3792657903960416,0.5969320033617452
security,0.8216964201699851,0.5355152077925232,0.6534306277943164,0.37542295650561547,0.7557978256232629,0.6235690552585565,0.6785376707496447
rails,0.8475577626622357,0.4056637671053701,0.5798602872601143,0.2852798959808402,0.7340474639049719,0.5154979987390729,0.6266083741580435
rust,0.9661334225071504,0.11196466795962816,0.2966682936385037,0.14703994740311996,0.8005282174012074,0.1789637804582055,0.5390489372487405
wp-calypso,0.8404830510982926,0.4863686478608785,0.6345013471304968,0.35133135673550403,0.7583662444020652,0.5888962405841341,0.6631082420292784
npm,0.7828266508244084,0.4001402396533909,0.5400515892987698,0.20528984258834596,0.6671202395403956,0.4818139388120655,0.5914561450064449
Mybatis3,0.8167874413064897,0.4302521549755377,0.5762934854310499,0.26606331984720244,0.7017570782576804,0.5431972303169754,0.6233414766851106
tensorflow,0.8124550658073098,0.5396140219014681,0.6576330627946987,0.3687739363970977,0.7445842501812809,0.6202728159909772,0.6760338859728066
