,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,yes,yes,yes,yes,yes,yes,yes
BroadleafCommerce,yes,yes,yes,yes,no,yes,yes
camel,yes,yes,yes,no,yes,yes,no
corefx-v-6.2,yes,yes,no,yes,yes,no,yes
django,yes,no,no,no,yes,no,no
elasticsearch,yes,yes,yes,yes,yes,yes,yes
fabric8,no,no,no,no,no,no,no
godot,yes,yes,yes,yes,yes,yes,yes
vscode,yes,yes,yes,yes,yes,yes,yes
pytorch,yes,no,no,yes,yes,no,yes
spring-boot,yes,yes,yes,yes,yes,yes,yes
node,yes,yes,yes,yes,yes,yes,yes
nova,yes,yes,yes,yes,yes,yes,yes
tomcat,yes,yes,no,no,no,no,no
pandas,no,yes,yes,yes,yes,yes,yes
security,yes,yes,no,no,yes,yes,no
rails,yes,yes,yes,yes,yes,yes,yes
rust,yes,yes,yes,yes,yes,yes,yes
wp-calypso,yes,yes,yes,no,yes,yes,no
npm,no,no,no,no,no,no,no
Mybatis3,yes,yes,yes,no,yes,yes,no
tensorflow,yes,yes,yes,yes,yes,yes,yes
cross_project,yes,yes,yes,yes,yes,yes,yes
