,odasc,oob,pbsa,humla-effort-auto,humla-effort-1
brackets,2.0,3.0,5.0,4.0,1.0
BroadleafCommerce,2.0,3.0,1.0,4.0,5.0
camel,2.0,3.0,4.0,1.0,5.0
corefx-v-6.2,2.0,1.0,4.0,5.0,3.0
django,2.0,3.0,1.0,4.0,5.0
elasticsearch,2.0,3.0,1.0,4.0,5.0
fabric8,2.0,3.0,1.0,4.0,5.0
godot,2.0,3.0,4.0,1.0,5.0
vscode,2.0,1.0,4.0,5.0,3.0
pytorch,2.0,3.0,1.0,4.0,5.0
spring-boot,2.0,1.0,3.0,4.0,5.0
node,2.0,3.0,1.0,4.0,5.0
nova,2.0,3.0,4.0,1.0,5.0
tomcat,3.0,2.0,1.0,4.0,5.0
pandas,2.0,3.0,1.0,4.0,5.0
security,2.0,3.0,1.0,4.0,5.0
rails,2.0,3.0,1.0,4.0,5.0
rust,2.0,1.0,4.0,5.0,3.0
wp-calypso,2.0,3.0,1.0,4.0,5.0
npm,2.0,3.0,1.0,4.0,5.0
Mybatis3,1.0,3.0,4.0,2.0,5.0
tensorflow,3.0,2.0,1.0,4.0,5.0
cross_project,2.0454545454545454,2.5454545454545454,2.227272727272727,3.6363636363636362,4.545454545454546
