project,wait_days,method,n_tree_bst,theta_imb_bst,theta_cl_bst,ave_gmean_pre
brackets,5,our,30,0.950,0.900,0.648
brackets,5,oob,40,0.999,-1.000,0.635
brackets,5,upp,10,0.999,0.800,0.637
brackets,5,upp_filter,5,0.999,0.800,0.609
brackets,5,btm,30,0.999,0.800,0.632
brackets,5,oza,40,-1.000,-1.000,0.593
brackets,10,our,30,0.950,0.800,0.645
brackets,10,oob,40,0.999,-1.000,0.639
brackets,10,upp,5,0.999,0.900,0.631
brackets,10,upp_filter,5,0.900,0.900,0.616
brackets,10,btm,20,0.999,0.800,0.631
brackets,10,oza,30,-1.000,-1.000,0.614
brackets,15,our,40,0.950,0.800,0.653
brackets,15,oob,40,0.999,-1.000,0.648
brackets,15,upp,20,0.999,0.900,0.633
brackets,15,upp_filter,30,0.900,0.900,0.615
brackets,15,btm,40,0.999,0.800,0.638
brackets,15,oza,40,-1.000,-1.000,0.624
brackets,30,our,40,0.990,0.900,0.610
brackets,30,oob,40,0.990,-1.000,0.629
brackets,30,upp,30,0.990,0.900,0.636
brackets,30,upp_filter,40,0.990,0.900,0.640
brackets,30,btm,40,0.990,0.800,0.629
brackets,30,oza,5,-1.000,-1.000,0.579
brackets,60,our,40,0.999,0.800,0.565
brackets,60,oob,5,0.999,-1.000,0.502
brackets,60,upp,5,0.999,0.900,0.461
brackets,60,upp_filter,5,0.999,0.900,0.486
brackets,60,btm,10,0.999,0.900,0.558
brackets,60,oza,5,-1.000,-1.000,0.426
broadleaf,5,our,40,0.990,0.800,0.624
broadleaf,5,oob,20,0.900,-1.000,0.589
broadleaf,5,upp,5,0.990,0.900,0.594
broadleaf,5,upp_filter,5,0.990,0.900,0.585
broadleaf,5,btm,30,0.900,0.800,0.595
broadleaf,5,oza,10,-1.000,-1.000,0.467
broadleaf,10,our,40,0.950,0.900,0.634
broadleaf,10,oob,20,0.900,-1.000,0.610
broadleaf,10,upp,5,0.990,0.800,0.614
broadleaf,10,upp_filter,10,0.990,0.800,0.603
broadleaf,10,btm,30,0.900,0.800,0.609
broadleaf,10,oza,10,-1.000,-1.000,0.487
broadleaf,15,our,30,0.900,0.900,0.625
broadleaf,15,oob,40,0.950,-1.000,0.610
broadleaf,15,upp,40,0.990,0.800,0.607
broadleaf,15,upp_filter,30,0.990,0.800,0.596
broadleaf,15,btm,40,0.900,0.900,0.605
broadleaf,15,oza,10,-1.000,-1.000,0.503
broadleaf,30,our,40,0.999,0.900,0.637
broadleaf,30,oob,30,0.900,-1.000,0.619
broadleaf,30,upp,10,0.900,0.900,0.617
broadleaf,30,upp_filter,30,0.900,0.900,0.618
broadleaf,30,btm,30,0.900,0.900,0.627
broadleaf,30,oza,5,-1.000,-1.000,0.527
broadleaf,60,our,10,0.990,0.800,0.663
broadleaf,60,oob,40,0.990,-1.000,0.686
broadleaf,60,upp,30,0.990,0.900,0.685
broadleaf,60,upp_filter,40,0.990,0.900,0.688
broadleaf,60,btm,30,0.990,0.900,0.675
broadleaf,60,oza,40,-1.000,-1.000,0.601
camel,5,our,40,0.999,0.800,0.553
camel,5,oob,5,0.999,-1.000,0.588
camel,5,upp,30,0.999,0.900,0.641
camel,5,upp_filter,40,0.999,0.800,0.657
camel,5,btm,40,0.999,0.800,0.546
camel,5,oza,10,-1.000,-1.000,0.517
camel,10,our,40,0.999,0.800,0.559
camel,10,oob,40,0.999,-1.000,0.598
camel,10,upp,40,0.999,0.800,0.644
camel,10,upp_filter,40,0.999,0.800,0.659
camel,10,btm,10,0.999,0.800,0.550
camel,10,oza,10,-1.000,-1.000,0.546
camel,15,our,5,0.999,0.800,0.560
camel,15,oob,40,0.999,-1.000,0.603
camel,15,upp,40,0.999,0.800,0.649
camel,15,upp_filter,40,0.999,0.800,0.660
camel,15,btm,40,0.999,0.800,0.561
camel,15,oza,10,-1.000,-1.000,0.553
camel,30,our,40,0.999,0.800,0.563
camel,30,oob,40,0.999,-1.000,0.620
camel,30,upp,40,0.999,0.800,0.655
camel,30,upp_filter,20,0.999,0.800,0.666
camel,30,btm,40,0.999,0.800,0.578
camel,30,oza,5,-1.000,-1.000,0.566
camel,60,our,40,0.950,0.800,0.589
camel,60,oob,40,0.999,-1.000,0.649
camel,60,upp,30,0.999,0.900,0.667
camel,60,upp_filter,40,0.999,0.800,0.673
camel,60,btm,30,0.999,0.800,0.608
camel,60,oza,40,-1.000,-1.000,0.617
corefx,5,our,30,0.990,0.800,0.571
corefx,5,oob,30,0.990,-1.000,0.546
corefx,5,upp,30,0.990,0.900,0.546
corefx,5,upp_filter,40,0.990,0.900,0.553
corefx,5,btm,10,0.990,0.800,0.542
corefx,5,oza,40,-1.000,-1.000,0.152
corefx,10,our,10,0.990,0.900,0.586
corefx,10,oob,5,0.990,-1.000,0.549
corefx,10,upp,5,0.990,0.800,0.558
corefx,10,upp_filter,5,0.990,0.800,0.559
corefx,10,btm,5,0.990,0.800,0.552
corefx,10,oza,30,-1.000,-1.000,0.152
corefx,15,our,10,0.990,0.800,0.568
corefx,15,oob,5,0.990,-1.000,0.552
corefx,15,upp,30,0.990,0.900,0.561
corefx,15,upp_filter,5,0.990,0.900,0.559
corefx,15,btm,10,0.990,0.800,0.556
corefx,15,oza,5,-1.000,-1.000,0.157
corefx,30,our,30,0.990,0.800,0.590
corefx,30,oob,40,0.990,-1.000,0.585
corefx,30,upp,40,0.990,0.900,0.590
corefx,30,upp_filter,40,0.990,0.800,0.589
corefx,30,btm,40,0.990,0.800,0.582
corefx,30,oza,20,-1.000,-1.000,0.152
corefx,60,our,40,0.900,0.900,0.625
corefx,60,oob,10,0.990,-1.000,0.613
corefx,60,upp,30,0.900,0.900,0.610
corefx,60,upp_filter,10,0.900,0.800,0.613
corefx,60,btm,20,0.990,0.900,0.615
corefx,60,oza,20,-1.000,-1.000,0.321
django,5,our,20,0.990,0.800,0.605
django,5,oob,10,0.990,-1.000,0.572
django,5,upp,40,0.990,0.900,0.596
django,5,upp_filter,20,0.990,0.800,0.600
django,5,btm,40,0.990,0.900,0.532
django,5,oza,5,-1.000,-1.000,0.358
django,10,our,30,0.990,0.800,0.570
django,10,oob,40,0.990,-1.000,0.542
django,10,upp,30,0.990,0.900,0.580
django,10,upp_filter,20,0.990,0.800,0.602
django,10,btm,20,0.990,0.900,0.527
django,10,oza,20,-1.000,-1.000,0.375
django,15,our,40,0.990,0.800,0.578
django,15,oob,30,0.990,-1.000,0.529
django,15,upp,30,0.990,0.800,0.587
django,15,upp_filter,20,0.990,0.900,0.568
django,15,btm,40,0.990,0.800,0.559
django,15,oza,10,-1.000,-1.000,0.384
django,30,our,40,0.990,0.800,0.579
django,30,oob,40,0.990,-1.000,0.550
django,30,upp,20,0.990,0.900,0.557
django,30,upp_filter,10,0.990,0.800,0.563
django,30,btm,10,0.999,0.900,0.523
django,30,oza,5,-1.000,-1.000,0.410
django,60,our,20,0.999,0.900,0.542
django,60,oob,40,0.990,-1.000,0.556
django,60,upp,20,0.990,0.900,0.537
django,60,upp_filter,10,0.990,0.800,0.554
django,60,btm,40,0.990,0.900,0.555
django,60,oza,20,-1.000,-1.000,0.498
fabric,5,our,20,0.990,0.800,0.542
fabric,5,oob,30,0.950,-1.000,0.557
fabric,5,upp,30,0.950,0.900,0.564
fabric,5,upp_filter,10,0.950,0.800,0.564
fabric,5,btm,40,0.950,0.800,0.558
fabric,5,oza,5,-1.000,-1.000,0.227
fabric,10,our,40,0.950,0.900,0.575
fabric,10,oob,20,0.950,-1.000,0.571
fabric,10,upp,40,0.950,0.900,0.577
fabric,10,upp_filter,5,0.950,0.900,0.581
fabric,10,btm,40,0.950,0.800,0.577
fabric,10,oza,40,-1.000,-1.000,0.234
fabric,15,our,10,0.990,0.800,0.556
fabric,15,oob,5,0.990,-1.000,0.563
fabric,15,upp,30,0.990,0.800,0.564
fabric,15,upp_filter,20,0.990,0.900,0.580
fabric,15,btm,20,0.990,0.900,0.557
fabric,15,oza,30,-1.000,-1.000,0.240
fabric,30,our,40,0.990,0.800,0.557
fabric,30,oob,40,0.990,-1.000,0.565
fabric,30,upp,40,0.950,0.900,0.569
fabric,30,upp_filter,30,0.990,0.800,0.578
fabric,30,btm,30,0.990,0.900,0.558
fabric,30,oza,5,-1.000,-1.000,0.272
fabric,60,our,40,0.990,0.800,0.572
fabric,60,oob,5,0.990,-1.000,0.572
fabric,60,upp,40,0.990,0.800,0.577
fabric,60,upp_filter,40,0.990,0.900,0.588
fabric,60,btm,10,0.990,0.800,0.571
fabric,60,oza,5,-1.000,-1.000,0.321
jgroups,5,our,40,0.990,0.900,0.536
jgroups,5,oob,10,0.990,-1.000,0.516
jgroups,5,upp,40,0.990,0.900,0.516
jgroups,5,upp_filter,10,0.990,0.800,0.524
jgroups,5,btm,20,0.990,0.800,0.512
jgroups,5,oza,10,-1.000,-1.000,0.078
jgroups,10,our,30,0.990,0.900,0.529
jgroups,10,oob,5,0.990,-1.000,0.510
jgroups,10,upp,5,0.990,0.800,0.511
jgroups,10,upp_filter,10,0.990,0.800,0.533
jgroups,10,btm,40,0.990,0.800,0.512
jgroups,10,oza,30,-1.000,-1.000,0.120
jgroups,15,our,20,0.990,0.900,0.531
jgroups,15,oob,20,0.990,-1.000,0.511
jgroups,15,upp,10,0.990,0.800,0.525
jgroups,15,upp_filter,10,0.990,0.800,0.539
jgroups,15,btm,40,0.990,0.800,0.514
jgroups,15,oza,10,-1.000,-1.000,0.085
jgroups,30,our,40,0.990,0.900,0.523
jgroups,30,oob,40,0.990,-1.000,0.546
jgroups,30,upp,30,0.990,0.800,0.562
jgroups,30,upp_filter,20,0.990,0.800,0.549
jgroups,30,btm,20,0.990,0.800,0.526
jgroups,30,oza,40,-1.000,-1.000,0.129
jgroups,60,our,40,0.990,0.800,0.529
jgroups,60,oob,5,0.990,-1.000,0.527
jgroups,60,upp,20,0.990,0.900,0.536
jgroups,60,upp_filter,30,0.990,0.900,0.545
jgroups,60,btm,20,0.990,0.900,0.525
jgroups,60,oza,10,-1.000,-1.000,0.144
nova,5,our,40,0.990,0.800,0.563
nova,5,oob,40,0.999,-1.000,0.556
nova,5,upp,5,0.990,0.800,0.576
nova,5,upp_filter,10,0.990,0.900,0.535
nova,5,btm,20,0.990,0.800,0.535
nova,5,oza,5,-1.000,-1.000,0.321
nova,10,our,40,0.950,0.900,0.539
nova,10,oob,40,0.950,-1.000,0.539
nova,10,upp,5,0.990,0.900,0.512
nova,10,upp_filter,40,0.950,0.800,0.513
nova,10,btm,40,0.900,0.900,0.498
nova,10,oza,5,-1.000,-1.000,0.350
nova,15,our,40,0.950,0.800,0.547
nova,15,oob,10,0.990,-1.000,0.488
nova,15,upp,20,0.990,0.800,0.534
nova,15,upp_filter,20,0.990,0.900,0.511
nova,15,btm,40,0.900,0.900,0.514
nova,15,oza,5,-1.000,-1.000,0.353
