,Percentage,Zero_Norm,L_1_Norm,L_2_Norm,Spearman_correlation,Pearson_correlation
brackets,0.3821273757919306,4584,16.15696898966322,978.45756918973,0.49616540544517235,0.633237789766852
BroadleafCommerce,0.28208464593891247,4119,5.169017942747569,121.7556499109711,0.5491418992526602,0.6741006845839282
camel,0.023480843050626494,1621,6.406301151589774,2917.0275802129354,0.9556742836172597,0.9670549927454326
corefx-v-6.2,0.2244763735707781,4437,28.1458565212992,4656.881260750784,0.7947024614124576,0.8090793781302545
django,0.01035823559408465,325,0.46516445690973995,27.0238717491076,0.990024002317108,0.9993162679692802
elasticsearch,0.4281270418454021,30141,126.45402119257976,48436.60018181302,0.13016347264680955,0.3528003016120131
fabric8,0.03922634767748951,505,0.5007767593599503,7.969007301537983,0.9941548047430706,0.9905619109495718
godot,0.33277291095183315,11282,65.48969117777187,16639.793617084033,0.4017819454641197,0.5474701698808614
vscode,0.837978546328833,90619,47.902626225263546,6696.725374514518,0.575724394781798,0.6680470564987375
pytorch,0.04321261464936254,3020,0.9424356461144419,48.88683159958218,0.9994756870918372,0.9997710314903259
spring-boot,0.3833160978972768,12232,83.27661308012911,20716.269750242864,0.18894489419945604,0.38134340835115527
node,0.051012266879425554,2046,5.369627007080882,740.492445397427,0.9925332858382326,0.9954750494471765
nova,0.3278647542264304,10492,91.1534952032749,38741.267116652605,0.4716443303637409,0.6152042460309207
tomcat,0.0010389410497152532,27,0.0273972602739726,0.8931045097737417,0.9965245278372162,0.995857051678195
pandas,0.05340741216520008,1663,1.2337979317875265,52.71295523154988,0.9927753204489626,0.998421367234761
security,0.16282069657445894,2272,13.914648129568583,2259.9394438870577,0.6650588555016385,0.7430114416758495
rails,0.18112447437292323,12319,67.51479107242626,37782.35467697827,0.6907975921602623,0.7779691438489372
rust,0.6956758117867894,121561,819.6623573578729,1249687.6076583227,0.025048274901089466,0.23753558474693592
wp-calypso,0.045298902604018774,2712,4.392022582638761,711.4173278324341,0.9871333758782941,0.9866048707543407
npm,0.023101112723754234,191,0.155418480890179,3.1745283018867925,0.9823448195984502,0.9989584455180598
Mybatis3,0.06001622060016221,222,1.871316572046499,69.59015950256826,0.8691359441616536,0.900745932478915
tensorflow,0.31872762606116395,46743,115.83798029388701,69696.00569363472,0.7796884605310053,0.782581755033338
