,Percentage,Zero_Norm,L_1_Norm,L_2_Norm,Spearman_correlation,Pearson_correlation
brackets,0.4462320773591197,5353,51.99516505501834,44774.33627875958,0.4497533606139903,0.7678184155336133
BroadleafCommerce,0.3279687714011779,4789,122.75517052458568,1277478.788590604,0.5813822105537132,0.8571945929579031
camel,0.025349460418628234,1750,23.491069747229666,216868.51776635041,0.9740128250576567,0.9881297327439179
corefx-v-6.2,0.24542143073965395,4851,30.95456845087524,372901.09268440754,0.7006485421105523,0.9886902112423208
django,0.012525497195308516,393,1.4299145843957164,881.6372705252422,0.9828623451435857,0.9979102753624901
elasticsearch,0.41500241470412774,29217,57.430754808102044,76645.46240163632,0.4042796381581396,0.905533884417031
fabric8,0.058956035420226816,759,1.8897778468230542,902.8697374553363,0.9588907771140601,0.9998256953711208
godot,0.3642450520602897,12349,89.87316756629207,149071.8807185205,0.43947626628432207,0.9254540843073822
vscode,0.5030423525060107,54399,123.93302200850749,250058.2420288515,0.5720644343987773,0.8005099986389184
pytorch,0.020590381616037316,1439,1.0246683932634109,179.23429250075122,0.9904747223932246,0.9998666306380504
spring-boot,0.39588229764031213,12633,438.7300303970418,1648009.0753658614,0.38930186238868136,0.5862667532872792
node,0.06233170439812506,2500,15.771392240949437,58476.601151889896,0.9171418609900589,0.9754694696353116
nova,0.3883316146370426,12427,135.27324146120435,263614.4331427143,0.5210808850120494,0.8089760951211784
tomcat,0.008388486993997229,218,0.8974141911651532,3153.822687394182,0.9979886566671747,0.9990153570049501
pandas,0.07656239964031088,2384,26.24266169953112,35347.63973280237,0.9158200545329308,0.9891713232379102
security,0.2529023935789021,3529,159.43865558262863,6837814.836104343,0.8141773624168316,0.9822757440730033
rails,0.19609198106272238,13337,46.79154291763461,125641.3435175111,0.7086667253431325,0.8556114194745369
rust,0.6265494626240429,109482,265.29547665648,847630.3851423274,0.2714540365741238,0.6445724344042346
wp-calypso,0.055053533548247005,3296,3.8267550819288783,4075.300105229752,0.9523404879946067,0.9971161449033071
npm,0.02539912917271408,210,2.9427914852443156,1504.3748185776487,0.9782818078845108,0.9975854154353216
Mybatis3,0.10921870775885374,404,8.065423087320898,12253.272235739389,0.9105069520759322,0.9828157881125612
tensorflow,0.3184412396440626,46701,68.86079574511609,144486.4092598275,0.6156896497543535,0.845820124053925
