,Wilcoxon,a12
brackets,0.0,0.41865918807992125
BroadleafCommerce,0.0,0.431077663914978
camel,8.774494491445215e-76,0.49773124697675375
corefx-v-6.2,0.0,0.4321221693080518
django,3.289463035463468e-18,0.49749829086877956
elasticsearch,0.0,0.39815455747675543
fabric8,1.645589433080933e-26,0.4907214785173364
godot,0.0,0.3618676433067434
vscode,0.0,0.44703990165397045
pytorch,3.6044537298600875e-66,0.497267988768852
spring-boot,0.0,0.40401772925920604
node,3.1614984943912545e-140,0.4867984191511084
nova,0.0,0.4036835047382942
tomcat,1.867701049589697e-17,0.49886068081196544
pandas,5.1596288386447477e-79,0.4911369660830503
security,7.225183355036226e-15,0.48982766611538325
rails,0.0,0.46110861166222045
rust,0.0,0.3953499694954916
wp-calypso,2.147351731235834e-174,0.48742655171274174
npm,0.0785303324060526,0.4986405099580128
Mybatis3,1.2201797298781247e-47,0.4770074417868357
tensorflow,0.0,0.42136075298308345
