,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp
brackets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.60406050159912,16.15696898966322,6.165657097362027,51.99516505501834,0.0,4.6779002162942716,0.0
BroadleafCommerce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.09976457994463,5.169017942747569,20.015230420579147,122.75517052458568,0.0,7.644397025401214,0.0
camel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.158628163905185,6.406301151589774,1.8663584066649925,23.491069747229666,0.0,0.4222652142458221,0.0
corefx-v-6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.50375339465599,28.1458565212992,6.342400191930592,30.95456845087524,0.0,4.057746282880318,0.0
django,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.310745539477016,0.46516445690973995,0.4950574640663195,1.4299145843957164,0.0,0.08528593445428233,0.0
elasticsearch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.41985869818811,126.45402119257976,22.083969138581125,57.430754808102044,0.0,16.52151506727886,0.0
fabric8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.425496059812681,0.5007767593599503,0.7948732401662717,1.8897778468230542,0.0,2.142196762550409,0.0
godot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.2981149625313,65.48969117777187,17.209586523419173,89.87316756629207,0.0,1.4599567504914415,0.0
vscode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.97266845698474,47.902626225263546,5.960170094322423,123.93302200850749,0.0,3.1462847266151877,0.0
pytorch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.272257220239496,0.9424356461144419,0.45938226816967337,1.0246683932634109,0.0,0.2748882867904107,0.0
spring-boot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.64655956342597,83.27661308012911,19.461113002202794,438.7300303970418,0.0,51.22914287649427,0.0
node,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.314169739589865,5.369627007080882,1.8923936904862273,15.771392240949437,0.0,0.47070840106724493,0.0
nova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.33478563199685,91.1534952032749,17.56275431989952,135.27324146120435,0.0,5.736836403734573,0.0
tomcat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5528980982600417,0.0273972602739726,0.4303234849181011,0.8974141911651532,0.0,1.5389300320753942,0.0
pandas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.63304018568795,1.2337979317875265,0.8950703743361283,26.24266169953112,0.0,0.2794023424937337,0.0
security,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.03545089458875,13.914648129568583,19.397172629307846,159.43865558262863,0.0,72.98870133501636,0.0
rails,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.8559583465014,67.51479107242626,11.376371527415305,46.79154291763461,0.0,1.517265304383653,0.0
rust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.123962976104,819.6623573578729,17.101321665769063,265.29547665648,0.0,11.00265391638762,0.0
wp-calypso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.896240437651837,4.392022582638761,0.9521047183779957,3.8267550819288783,0.0,1.0389528963510415,0.0
npm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.746096354936032,0.155418480890179,0.35284758267167865,2.9427914852443156,0.0,0.6550547834650556,0.0
Mybatis3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.812570962642596,1.871316572046499,8.222337881680401,8.065423087320898,0.0,555.2326791192324,0.0
tensorflow,0.0,0.0,0.0,0.0,8.251632040103785e-20,0.0,0.0,568.7114631433184,115.83798029388701,7.975260686738043,68.86079574511609,0.0,1.3271769426018012,0.0
