,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp
brackets,0.9999999999999998,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.49650918858197535,0.49616540544517235,0.45332319868894555,0.4497533606139903,1.0,0.7788936500826865,0.9999999999999999
BroadleafCommerce,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,0.5596574660289682,0.5491418992526602,0.48624549796932254,0.5813822105537132,0.9999999999999998,0.7863759472455591,0.9999999999999998
camel,0.9999999999999999,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,0.9656974190670977,0.9556742836172597,0.9638116194396029,0.9740128250576567,1.0,0.9925235908127076,1.0
corefx-v-6.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6385031602146131,0.7947024614124576,0.6217245133454535,0.7006485421105523,0.9999999999999999,0.7860932631364257,1.0
django,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9841992419974229,0.990024002317108,0.9855006479540964,0.9828623451435857,1.0,0.9876729448173421,0.9999999999999998
elasticsearch,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.49582908554999194,0.13016347264680955,0.27090276616892195,0.4042796381581396,1.0,0.6845888372268509,1.0
fabric8,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9562644105469291,0.9941548047430706,0.9140143730360389,0.9588907771140601,0.9999999999999999,0.9480120642722115,1.0
godot,1.0,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0,1.0,0.551238818990533,0.4017819454641197,0.5175750958338632,0.43947626628432207,1.0,0.5709241411091776,1.0
vscode,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,0.5715700651407524,0.575724394781798,0.5552235057624479,0.5720644343987773,1.0,0.8172810996798417,1.0
pytorch,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.9860848556593984,0.9994756870918372,0.9750317441339917,0.9904747223932246,1.0,0.9882826126661794,1.0
spring-boot,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4359854467396344,0.18894489419945604,0.3911904148824921,0.38930186238868136,1.0,0.7482823318668,1.0
node,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,0.920750983536553,0.9925332858382326,0.9501923066092842,0.9171418609900589,0.9999999999999999,0.9466258807447073,1.0
nova,0.9999999999999999,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.5587128497234016,0.4716443303637409,0.5959166613594259,0.5210808850120494,1.0,0.6982230937532266,0.9999999999999998
tomcat,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.9991083259480275,0.9965245278372162,0.9929578289807885,0.9979886566671747,0.9999999999999999,0.9949412403154637,1.0
pandas,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,0.892117346239945,0.9927753204489626,0.9395768772161327,0.9158200545329308,1.0,0.9655058558710324,0.9999999999999998
security,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8552840395534473,0.6650588555016385,0.6966677240936662,0.8141773624168316,0.9999999999999999,0.860558964376329,1.0
rails,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0,0.9999999999999998,0.9999999999999998,0.7506044718711238,0.6907975921602623,0.6859819605198797,0.7086667253431325,1.0,0.8801375257769279,1.0
rust,0.9999999999999998,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,0.38137835671579867,0.025048274901089466,0.2197058889912981,0.2714540365741238,1.0,0.7374954344812087,1.0
wp-calypso,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.9227580040875336,0.9871333758782941,0.9404269166408709,0.9523404879946067,0.9999999999999998,0.9491676300079802,1.0
npm,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,0.9770543261197268,0.9823448195984502,0.9817645629155691,0.9782818078845108,1.0,0.9904075683118511,1.0
Mybatis3,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,0.9050991820502227,0.8691359441616536,0.8403638087756246,0.9105069520759322,1.0,0.9382397151229607,1.0
tensorflow,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.5285630242546931,0.7796884605310053,0.5154394984533961,0.6156896497543535,0.9999999999999998,0.7359973446968157,0.9999999999999998
