,Percentage,Zero_Norm,L_1_Norm,L_2_Norm,Spearman_correlation,Pearson_correlation
fix,0.0,0,0.0,0.0,1.0,1.0
ns,0.0,0,0.0,0.0,1.0,1.0000000000000002
nd,0.0,0,0.0,0.0,1.0,1.0
nf,0.0,0,0.0,0.0,1.0,1.0000000000000002
entrophy,0.0,0,0.0,0.0,0.9999999999999999,0.9999999999999999
la,0.0,0,0.0,0.0,1.0,0.9999999999999999
ld,0.0,0,0.0,0.0,0.9999999999999998,1.0000000000000002
lt,0.3090672510614984,4513,79.09976457994463,82042.78646072342,0.5596574660289682,0.7199467427753728
ndev,0.28208464593891247,4119,5.169017942747569,121.7556499109711,0.5491418992526602,0.6741006845839282
age,0.24667853718668675,3602,20.015230420579147,10217.640187979277,0.48624549796932254,0.7566915931903276
nuc,0.3279687714011779,4789,122.75517052458568,1277478.788590604,0.5813822105537131,0.8571945929579031
exp,0.0,0,0.0,0.0,0.9999999999999998,1.0
rexp,0.24414463772086015,3565,7.644397025401214,75998.10064642552,0.7863759472455593,0.972995093554042
sexp,0.0,0,0.0,0.0,0.9999999999999998,1.0
