,Percentage,Zero_Norm,L_1_Norm,L_2_Norm,Spearman_correlation,Pearson_correlation
fix,0.0,0,0.0,0.0,1.0,1.0
ns,0.0,0,0.0,0.0,1.0,1.0
nd,0.0,0,0.0,0.0,1.0,0.9999999999999999
nf,0.0,0,0.0,0.0,1.0,1.0
entrophy,0.0,0,0.0,0.0,1.0,1.0000000000000002
la,0.0,0,0.0,0.0,1.0,1.0
ld,0.0,0,0.0,0.0,1.0,1.0
lt,0.23252048972983913,4596,109.50375339465599,443204.8184593481,0.6385031602146132,0.7034275604781852
ndev,0.2244763735707781,4437,28.1458565212992,4656.881260750784,0.7947024614124576,0.8090793781302545
age,0.21137306485884852,4178,6.342400191930592,780.3401514147548,0.6217245133454535,0.9086769170176248
nuc,0.24542143073965395,4851,30.95456845087524,372901.09268440754,0.7006485421105523,0.9886902112423208
exp,0.0,0,0.0,0.0,0.9999999999999999,1.0
rexp,0.20778103814631185,4107,4.057746282880318,47043.629573010614,0.7860932631364257,0.698391610999631
sexp,0.0,0,0.0,0.0,1.0,0.9999999999999998
