,Percentage,Zero_Norm,L_1_Norm,L_2_Norm,Spearman_correlation,Pearson_correlation
fix,0.0,0,0.0,0.0,1.0,0.9999999999999998
ns,0.0,0,0.0,0.0,1.0,0.9999999999999998
nd,0.0,0,0.0,0.0,1.0,1.0
nf,0.0,0,0.0,0.0,1.0,0.9999999999999999
entrophy,0.0,0,0.0,0.0,1.0,1.0
la,0.0,0,0.0,0.0,1.0,1.0
ld,0.0,0,0.0,0.0,1.0,1.0000000000000002
lt,0.3809658111622951,12157,351.64655956342597,783200.6245789345,0.4359854467396344,0.5976942239441111
ndev,0.3833160978972768,12232,83.27661308012911,20716.269750242864,0.18894489419945604,0.38134340835115527
age,0.27564162827865,8796,19.461113002202794,6880.150145432454,0.3911904148824921,0.6278874540021749
nuc,0.39588229764031213,12633,438.7300303970418,1648009.0753658614,0.38930186238868136,0.5862667532872792
exp,0.0,0,0.0,0.0,1.0,0.9999999999999999
rexp,0.2644229262636708,8438,51.22914287649427,1088410.1267194883,0.7482823318668,0.9988686439870027
sexp,0.0,0,0.0,0.0,1.0,0.9999999999999999
