,Percentage,Zero_Norm,L_1_Norm,L_2_Norm,Spearman_correlation,Pearson_correlation
fix,0.0,0,0.0,0.0,0.9999999999999999,1.0000000000000002
ns,0.0,0,0.0,0.0,1.0,1.0000000000000002
nd,0.0,0,0.0,0.0,1.0,0.9999999999999998
nf,0.0,0,0.0,0.0,1.0,1.0
entrophy,0.00030002386553475846,44,8.251632040103785e-20,3.370295325270466e-35,1.0,1.0
la,0.0,0,0.0,0.0,1.0,1.0000000000000002
ld,0.0,0,0.0,0.0,1.0,1.0000000000000002
lt,0.3125225870239678,45833,568.7114631433184,12994183.701229913,0.5285630242546933,0.8703886436697854
ndev,0.31872762606116395,46743,115.83798029388701,69696.00569363472,0.7796884605310053,0.782581755033338
age,0.2641028263611878,38732,7.975260686738043,1414.2307267145022,0.5154394984533962,0.8904640717670831
nuc,0.3184412396440626,46701,68.86079574511609,144486.4092598275,0.6156896497543535,0.845820124053925
exp,0.0,0,0.0,0.0,0.9999999999999998,0.9999999999999998
rexp,0.2597183866898503,38089,1.3271769426018012,1403.516536571642,0.7359973446968157,0.9936566978092491
sexp,0.0,0,0.0,0.0,0.9999999999999998,1.0000000000000002
