,Percentage,Zero_Norm,L_1_Norm,L_2_Norm,Spearman_correlation,Pearson_correlation
fix,0.0,0,0.0,0.0,0.9999999999999999,1.0000000000000002
ns,0.0,0,0.0,0.0,1.0,0.9999999999999998
nd,0.0,0,0.0,0.0,1.0,0.9999999999999999
nf,0.0,0,0.0,0.0,1.0,1.0000000000000002
entrophy,0.0,0,0.0,0.0,1.0,0.9999999999999998
la,0.0,0,0.0,0.0,1.0,1.0000000000000002
ld,0.0,0,0.0,0.0,1.0,1.0
lt,0.05281531343433162,3162,15.896240437651837,77804.78121242767,0.9227580040875336,0.9903346552055935
ndev,0.045298902604018774,2712,4.392022582638761,711.4173278324341,0.9871333758782941,0.9866048707543407
age,0.04115652507975747,2464,0.9521047183779957,107.2449604300577,0.9404269166408709,0.9900804783326115
nuc,0.055053533548247005,3296,3.8267550819288783,4075.300105229752,0.9523404879946067,0.9971161449033071
exp,0.0,0,0.0,0.0,0.9999999999999998,1.0
rexp,0.04045499340226161,2422,1.0389528963510415,1503.5576476549322,0.9491676300079803,0.9930904826737641
sexp,0.0,0,0.0,0.0,1.0,1.0
