,Zero_Norm,L_1_Norm,L_2_Norm,Spearman_correlation,Pearson_correlation
ns,0,0.0,0.0,1.0,1.0000000000000002
nd,0,0.0,0.0,1.0,1.0
nf,0,0.0,0.0,1.0,1.0
entrophy,44,7.289437758996094e-20,2.720756454974421e-35,0.9999999999999998,0.9999999999999998
la,0,0.0,0.0,0.9999999999999999,1.0
ld,0,0.0,0.0,1.0,1.0
lt,45879,521.7906599116892,11916765.151363017,0.5852965437362574,0.8709584764426413
ndev,46786,106.31478667592124,63953.10959161086,0.8300182230080758,0.8060235487066479
age,38772,7.321827194273005,1298.3528846342992,0.5754778683358621,0.8912944608579244
nuc,46747,63.286085004470955,132993.825338761,0.6661230825665548,0.8510808724302162
exp,0,0.0,0.0,1.0,1.0
rexp,38128,1.217759033014988,1287.0970596971245,0.7610565930835541,0.9936589804214061
sexp,0,0.0,0.0,1.0,1.0
