,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,1.1735785870876846e-05,1.0833033111578627e-05,9.328787840814653e-05,0.013341093845527433,1.0059245032180154e-05,1.0833033111578627e-05,1.0
BroadleafCommerce,1.3649487330496416e-05,2.74286613071556e-05,0.0001649142965373867,0.0002693228472536648,0.7405329157583994,4.163210395008148e-05,0.00020160162887653967
camel,1.1735785870876846e-05,1.0833033111578627e-05,1.2802675495502013e-05,1.4082943045052217e-05,1.0059245032180154e-05,1.0833033111578627e-05,1.4082943045052217e-05
corefx-v-6.2,0.18235402061865322,0.15890378203310865,0.08353898323693058,0.00015060541909522857,5.380744736156371e-05,0.03487424273889369,0.0034184473984926965
django,0.01564779299278989,1.0,0.047009482994545625,0.00011235590027296383,5.380744736156371e-05,0.2678795899239657,0.0007496981910698145
elasticsearch,1.1735785870876846e-05,1.0833033111578627e-05,1.2802675495502013e-05,1.4082943045052217e-05,1.0059245032180154e-05,1.0833033111578627e-05,1.4082943045052217e-05
fabric8,1.1735785870876846e-05,1.0833033111578627e-05,1.2802675495502013e-05,1.4082943045052217e-05,1.0059245032180154e-05,1.0833033111578627e-05,1.4082943045052217e-05
godot,1.1735785870876846e-05,1.0833033111578627e-05,1.2802675495502013e-05,1.4082943045052217e-05,1.0059245032180154e-05,1.0833033111578627e-05,1.4082943045052217e-05
vscode,1.1735785870876846e-05,1.0833033111578627e-05,1.2802675495502013e-05,0.0003910754796826656,1.0059245032180154e-05,1.0833033111578627e-05,1.4389863339127377e-05
pytorch,1.1735785870876846e-05,1.0833033111578627e-05,1.2802675495502013e-05,1.4082943045052217e-05,1.0059245032180154e-05,1.0833033111578627e-05,1.4082943045052217e-05
spring-boot,1.1735785870876846e-05,1.0833033111578627e-05,1.2802675495502013e-05,1.4082943045052217e-05,1.0059245032180154e-05,1.0833033111578627e-05,1.4082943045052217e-05
node,1.3282950774579116e-05,1.0833033111578627e-05,1.2802675495502013e-05,1.4082943045052217e-05,0.0058039852298535964,1.0833033111578627e-05,1.4082943045052217e-05
nova,1.1735785870876846e-05,1.0833033111578627e-05,1.2802675495502013e-05,1.4082943045052217e-05,1.0059245032180154e-05,1.0833033111578627e-05,1.4082943045052217e-05
tomcat,0.005401185403222391,0.5360695012259492,1.0,1.0,0.09327809326625748,1.0,1.0
pandas,2.823788459650743e-05,1.0,0.00044321887697368773,3.20001048583482e-05,1.0059245032180154e-05,0.013207907895782049,0.0001649142965373867
security,0.6814048707627816,0.5360695012259492,1.0,1.0,1.0,0.7775595615463194,1.0
rails,1.1735785870876846e-05,1.0833033111578627e-05,1.2802675495502013e-05,1.4082943045052217e-05,1.0059245032180154e-05,1.0833033111578627e-05,1.4082943045052217e-05
rust,3.903009745320138e-05,7.362541927531535e-05,0.0005835701365579181,0.2108330252426213,2.560008388667856e-05,4.163210395008148e-05,0.00016219045133332308
wp-calypso,1.1735785870876846e-05,1.0833033111578627e-05,1.2802675495502013e-05,1.4082943045052217e-05,1.0059245032180154e-05,1.0833033111578627e-05,1.4082943045052217e-05
npm,0.006341673410886898,0.9292303848131422,0.7603002319686637,0.021331771638772645,0.12183699494548872,1.0,0.013512034015272116
Mybatis3,0.0003910754796826656,0.00020662384957463218,2.6268752015428133e-05,1.4179522133197033e-05,1.0059245032180154e-05,8.31997393322264e-05,1.4179522133197033e-05
tensorflow,1.1735785870876846e-05,1.0833033111578627e-05,1.0,0.0001843331106419039,1.0059245032180154e-05,1.0833033111578627e-05,0.006693988600380615
