,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,1.558241247347485e-05,1.0833033111578627e-05,1.1735785870876846e-05,0.004472944567634819,1.0833033111578627e-05,1.0833033111578627e-05,1.1735785870876846e-05
BroadleafCommerce,1.0059245032180154e-05,1.0833033111578627e-05,1.1735785870876846e-05,1.4082943045052217e-05,0.059721323224385614,1.0833033111578627e-05,1.1735785870876846e-05
camel,1.0059245032180154e-05,0.0015554464454351788,0.4410497602405523,0.027020244075778688,1.6695441935865912e-05,0.025331478821042516,1.0
corefx-v-6.2,1.0059245032180154e-05,1.0833033111578627e-05,1.1735785870876846e-05,1.4082943045052217e-05,1.0833033111578627e-05,1.0833033111578627e-05,1.1735785870876846e-05
django,0.0017033327723463552,0.897324292595312,0.29939483579737347,0.002620511957455931,3.113480787613355e-05,0.45468329113011835,0.10593193435943658
elasticsearch,1.0059245032180154e-05,1.0833033111578627e-05,1.1735785870876846e-05,1.4082943045052217e-05,1.0833033111578627e-05,1.0833033111578627e-05,1.1735785870876846e-05
fabric8,1.0059245032180154e-05,1.0833033111578627e-05,1.1735785870876846e-05,1.7372074784268163e-05,1.0833033111578627e-05,1.0833033111578627e-05,1.1735785870876846e-05
godot,1.0059245032180154e-05,1.0833033111578627e-05,1.1735785870876846e-05,1.4082943045052217e-05,1.0833033111578627e-05,1.0833033111578627e-05,1.1735785870876846e-05
vscode,6.496360524292531e-05,1.0,1.0,0.04430191344561097,1.0833033111578627e-05,1.0,1.0
pytorch,1.0059245032180154e-05,1.0833033111578627e-05,1.1735785870876846e-05,1.4082943045052217e-05,1.0,1.0833033111578627e-05,1.1735785870876846e-05
spring-boot,1.0059245032180154e-05,1.0833033111578627e-05,1.1735785870876846e-05,1.4082943045052217e-05,1.0833033111578627e-05,1.0833033111578627e-05,1.1735785870876846e-05
node,1.0059245032180154e-05,1.0833033111578627e-05,1.797970670016329e-05,0.5081754430277793,1.0833033111578627e-05,1.0833033111578627e-05,0.00043578109470040604
nova,1.0059245032180154e-05,1.0833033111578627e-05,1.1735785870876846e-05,1.4082943045052217e-05,1.0833033111578627e-05,1.0833033111578627e-05,1.1735785870876846e-05
tomcat,0.200793357373925,0.45468329113011835,1.0,1.0,0.08861418860294461,0.7222852203702306,1.0
pandas,0.3926810241578294,1.0,1.0,1.0,1.0,1.0,1.0
security,8.114592797491833e-05,0.005319899133580417,0.059620091541007274,0.9118013523550303,0.02236206761090209,0.03692566878235803,0.20655886669904175
rails,1.0059245032180154e-05,1.0833033111578627e-05,1.1735785870876846e-05,1.4082943045052217e-05,1.0833033111578627e-05,1.0833033111578627e-05,1.1735785870876846e-05
rust,1.0059245032180154e-05,1.0833033111578627e-05,1.1735785870876846e-05,1.4082943045052217e-05,1.0833033111578627e-05,1.0833033111578627e-05,1.1735785870876846e-05
wp-calypso,2.6473016809225716e-05,3.780456442011706e-05,2.74286613071556e-05,0.0005540235962171096,0.0024851125761330035,3.3358722724428794e-05,0.00017760001165564718
npm,0.000950795961069582,0.03706564863371101,0.5808118748101343,1.0,0.059721323224385614,0.2699180372165578,1.0
Mybatis3,1.0059245032180154e-05,1.1141053104654812e-05,0.0002872777037372425,0.521507837542026,1.0833033111578627e-05,7.362541927531535e-05,1.0
tensorflow,1.0059245032180154e-05,1.0833033111578627e-05,1.1735785870876846e-05,1.4082943045052217e-05,1.0833033111578627e-05,1.0833033111578627e-05,1.1735785870876846e-05
