,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,True,True,True,True,True,True,True
BroadleafCommerce,True,True,True,True,False,True,True
camel,True,True,False,True,True,True,False
corefx-v-6.2,True,True,True,True,True,True,True
django,True,False,False,True,True,False,False
elasticsearch,True,True,True,True,True,True,True
fabric8,True,True,True,True,True,True,True
godot,True,True,True,True,True,True,True
vscode,True,False,False,True,True,False,False
pytorch,True,True,True,True,False,True,True
spring-boot,True,True,True,True,True,True,True
node,True,True,True,False,True,True,True
nova,True,True,True,True,True,True,True
tomcat,False,False,False,False,False,False,False
pandas,False,False,False,False,False,False,False
security,True,True,False,False,True,True,False
rails,True,True,True,True,True,True,True
rust,True,True,True,True,True,True,True
wp-calypso,True,True,True,True,True,True,True
npm,True,True,False,False,False,False,False
Mybatis3,True,True,True,False,True,True,False
tensorflow,True,True,True,True,True,True,True
