,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,0.7067028479573708,0.5964161254960969,0.6456113324800385,0.3083774282354839,0.675806076348109,0.6300140460364572,0.6516259097712082
BroadleafCommerce,0.6568034125326392,0.6604263104405864,0.6543913781013591,0.31959588534731803,0.6601594832335272,0.6585957101308326,0.6585618581526408
camel,0.7064729340205534,0.7498066114668436,0.7233316127601803,0.4619571558011302,0.7254423103265745,0.7332707918235603,0.7281454994309214
corefx-v-6.2,0.8757127184962045,0.3684500347227567,0.5328177277777698,0.277288705769227,0.7535370274513019,0.5173021277258163,0.6219563949856219
django,0.7407257199863101,0.690473371495293,0.7097466530567448,0.4374915623575283,0.7338477258701089,0.7055293041178543,0.7156123819401565
elasticsearch,0.6525809965632274,0.7904279049527491,0.7158559749208181,0.4501092593961376,0.6970343699177747,0.7386663734440652,0.7215011950162601
fabric8,0.6997302098466918,0.6732350286527832,0.6781122434189314,0.3806617358442491,0.7008873972223217,0.6782262440874781,0.686484785409313
godot,0.6241646290275419,0.6928367432125487,0.6521584481163399,0.3218067533789615,0.6521294364809329,0.6675372570843412,0.6584987345378417
vscode,0.9373166082753396,0.3547509779228329,0.5647195638943504,0.3543376403318532,0.8438564035207924,0.5045753453143776,0.6460079594963737
pytorch,0.5676574861590457,0.7852637761306185,0.6651132799832222,0.3637744825103454,0.6468891922042277,0.7076962878439242,0.6764579333983527
spring-boot,0.7234934075902557,0.8186043912433677,0.7669013932666366,0.5479435484771571,0.7523032529845319,0.7816331028025867,0.7710412288966428
node,0.6642910115436839,0.7178601883054699,0.6864528813774453,0.3868916966458488,0.6846727933725673,0.6972706001509571,0.6910656615312422
nova,0.6088384685665975,0.7394771328978492,0.6644223085854102,0.3571732355607527,0.6618145749896247,0.6931588257932325,0.6741502798414056
tomcat,0.6259695264392158,0.7085011746697795,0.6582797624481737,0.3417048842893568,0.6600076503703275,0.6762484260020011,0.6672294466612476
pandas,0.6017505496810236,0.7895782653953334,0.6842623776000903,0.4025612134398935,0.66836718387339,0.720123093847746,0.6956573668506331
security,0.7134201807594601,0.7504514217313064,0.7214005897044076,0.4747533172510573,0.7305154202668073,0.7305000107885465,0.7319281287112501
rails,0.670756294162224,0.6907760721036993,0.6767613324327667,0.3648619283610714,0.6808362933695188,0.682335011415353,0.6807612844662436
rust,0.9803595081312882,0.08022824777348013,0.22299290613073336,0.12927579147840826,0.9061086906598604,0.12917468837702778,0.5302829970139988
wp-calypso,0.6443368757599298,0.7392640589844408,0.6714938160742908,0.3897050792138416,0.673714759192333,0.7077098973242079,0.6917941677667396
npm,0.7048709163874247,0.5341169679848641,0.5277426359848703,0.2409589604811974,0.6331538923582731,0.6224144545384058,0.6194515263937309
Mybatis3,0.8454582321575058,0.4744458752405363,0.6275138900398521,0.3502600325458808,0.7627622297303991,0.5790647941457864,0.6600440936001151
tensorflow,0.7054956938170671,0.7075028216649532,0.7040434799452122,0.41573209908261816,0.7088663330842785,0.7058670237001579,0.7064989673878138
