,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,0.0,0.9722222222222222,nan,0.10888888888888888,0.0,0.8622222222222222,0.17
BroadleafCommerce,0.23222222222222222,0.69,0.3188888888888889,0.34,0.20555555555555555,nan,0.33666666666666667
camel,0.29,0.6966666666666667,nan,nan,0.35,0.64,nan
corefx-v-6.2,0.027777777777777776,0.7711111111111111,nan,0.0811111111111111,0.014444444444444444,nan,0.19777777777777777
django,nan,nan,0.3811111111111111,0.37222222222222223,nan,nan,0.36333333333333334
elasticsearch,0.0,1.0,0.13111111111111112,0.33666666666666667,0.0,0.87,0.22
fabric8,nan,nan,nan,nan,nan,nan,nan
godot,0.0,1.0,0.9755555555555555,0.7044444444444444,0.0,1.0,0.8966666666666666
vscode,0.013333333333333334,0.12333333333333334,0.08777777777777777,0.0,0.0,0.07555555555555556,0.006666666666666667
pytorch,1.0,0.0011111111111111111,0.8266666666666667,nan,0.9955555555555555,0.006666666666666667,nan
spring-boot,0.08444444444444445,0.8166666666666667,nan,nan,0.057777777777777775,0.7044444444444444,nan
node,0.0,1.0,0.03888888888888889,nan,0.0,0.9977777777777778,0.2111111111111111
nova,0.1511111111111111,0.7688888888888888,0.10888888888888888,0.28888888888888886,0.11444444444444445,nan,0.20666666666666667
tomcat,0.9844444444444445,0.07666666666666666,0.89,0.8544444444444445,0.99,0.23444444444444446,0.8655555555555555
pandas,0.13111111111111112,0.83,0.7077777777777777,0.6688888888888889,0.13777777777777778,0.8044444444444444,0.6822222222222222
security,0.3422222222222222,nan,nan,nan,0.3111111111111111,nan,nan
rails,0.057777777777777775,0.9411111111111111,0.8977777777777778,0.7011111111111111,0.08,0.9222222222222223,0.8011111111111111
rust,0.0,1.0,1.0,0.9777777777777777,0.0,1.0,1.0
wp-calypso,0.08666666666666667,0.8222222222222222,0.8477777777777777,0.09555555555555556,0.12777777777777777,0.33,0.07555555555555556
npm,nan,nan,nan,nan,nan,nan,nan
Mybatis3,nan,0.18444444444444444,0.09,0.08222222222222222,0.07777777777777778,0.09555555555555556,0.08333333333333333
tensorflow,0.0,1.0,1.0,0.7266666666666667,0.0,1.0,0.9677777777777777
cross_project,0.609504132231405,0.4256198347107438,nan,nan,0.6033057851239669,nan,nan
