,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,0.7157841140049536,0.5853742119877668,0.6431131854420911,0.30774839549196403,0.6797983192549729,0.624748080717696,0.6506487085587224
BroadleafCommerce,0.6687999896643203,0.6351995422953648,0.6467059426453017,0.3070120115302275,0.6602839189197769,0.6452715446377402,0.6519486153990958
camel,0.7763517684440827,0.6540453346168037,0.706475334800682,0.4404576887206119,0.7535789577400288,0.6928930820504873,0.7152035468359041
corefx-v-6.2,0.8772704384842729,0.3616050807895123,0.5285783016768509,0.27314008947683555,0.7535123073312125,0.5112313259350972,0.6193143444353683
django,0.7716293718446542,0.6580814730390632,0.7078246056750431,0.4377359703227217,0.7496073712108451,0.6952582710443365,0.7148687941774121
elasticsearch,0.7164934515343347,0.7220835386059125,0.7151625071833464,0.4428753561971942,0.7218809234391962,0.7170806612759715,0.71928417758587
fabric8,0.6890226077441763,0.6690660597083717,0.6696254305542079,0.3664169932910293,0.6929373900972073,0.6712040663326084,0.6790461286177983
godot,0.7454865797774858,0.5729924059310749,0.6480620667245948,0.3276338511855426,0.6983352268009501,0.6233736033268455,0.6592333577855936
vscode,0.939141355817594,0.3386822937206716,0.5527314589190873,0.34261303673456805,0.8425042196102355,0.4877357414705062,0.6388867431966114
pytorch,0.6317841252638998,0.7223978505468218,0.6729868719020765,0.35821160220617704,0.6639316194501872,0.6898180605116497,0.6770892454905627
spring-boot,0.7438061659589795,0.7913148318215965,0.7646897183818969,0.5390559018652874,0.7600560783941201,0.7729435677826612,0.7675535720730582
node,0.7146600222583361,0.662381864455204,0.6850677126743643,0.3803346571078505,0.7016804208027752,0.6785336612913273,0.6885124960972969
nova,0.6335963856475566,0.7171174614314713,0.6685507138720707,0.3572230937063241,0.6681785825066969,0.6870361621825205,0.6753498786709434
tomcat,0.6542336561656985,0.6782365981826428,0.6589410053416639,0.337999247340232,0.6683111930158149,0.6661237711827218,0.666228610315058
pandas,0.7205531091744243,0.6475001230099174,0.673661244547741,0.3767051764463872,0.7028123938380388,0.6643734029380091,0.6840216757256687
security,0.7419464048783235,0.7050557054984398,0.7133502772323289,0.4557188503444224,0.7368286740979509,0.7106018703576245,0.7234895659637964
rails,0.7598844743454667,0.5675752341751088,0.65174525377646,0.3376501787341379,0.7088435140708593,0.6249511047586523,0.6637263904602733
rust,0.9850706800597332,0.060920520210226876,0.19512537584846765,0.11209430033837878,0.9146240091951552,0.10322349547349398,0.5229873292112428
wp-calypso,0.7096983080470456,0.6739064054141003,0.6738970019466964,0.3860680687362321,0.6979965073848892,0.6877444723758823,0.6917972148252283
npm,0.7376750319958999,0.4772642011654645,0.5102493284022164,0.21688796537373625,0.6337498031456649,0.5806216374032692,0.6074319153780372
Mybatis3,0.8477252468064614,0.4457848065685838,0.6090259290867027,0.32629646024268616,0.7538349450568209,0.5544796771906291,0.6468475023853579
tensorflow,0.8010313815964192,0.5800002292102769,0.6786780087265806,0.39304218227278814,0.7470222364813582,0.6492438368502725,0.6905146173784719
