,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,0.0,1.0,0.8411111111111111,0.2777777777777778,0.0,0.9988888888888889,nan
BroadleafCommerce,0.06888888888888889,0.93,0.8955555555555555,0.87,nan,0.9133333333333333,0.8833333333333333
camel,0.0,1.0,1.0,0.9877777777777778,0.0,1.0,1.0
corefx-v-6.2,0.6344444444444445,0.6888888888888889,0.7188888888888889,0.8111111111111111,0.9333333333333333,0.74,0.7744444444444445
django,0.2866666666666667,nan,0.2911111111111111,0.10666666666666667,0.13444444444444445,nan,0.16444444444444445
elasticsearch,0.0,1.0,0.9977777777777778,0.9766666666666667,0.0,1.0,0.9944444444444445
fabric8,0.0033333333333333335,1.0,1.0,0.9855555555555555,0.021111111111111112,1.0,0.9944444444444445
godot,0.0,1.0,1.0,1.0,0.0,1.0,1.0
vscode,0.0,1.0,0.9988888888888889,0.8577777777777778,0.0,0.9988888888888889,0.99
pytorch,0.0,1.0,1.0,1.0,0.0044444444444444444,1.0,1.0
spring-boot,0.0,1.0,1.0,1.0,0.0,1.0,1.0
node,0.02,1.0,1.0,1.0,0.29,1.0,1.0
nova,0.0,1.0,0.9933333333333333,0.9988888888888889,0.0,1.0,0.9977777777777778
tomcat,0.23666666666666666,nan,nan,nan,0.30666666666666664,nan,nan
pandas,0.09666666666666666,nan,0.14888888888888888,0.06777777777777778,0.005555555555555556,0.2388888888888889,0.12777777777777777
security,nan,nan,nan,nan,nan,nan,nan
rails,0.0,1.0,1.0,1.0,0.0,1.0,1.0
rust,0.07444444444444444,0.8944444444444445,0.8088888888888889,nan,0.058888888888888886,0.9144444444444444,0.8444444444444444
wp-calypso,0.0,1.0,1.0,1.0,0.0,1.0,1.0
npm,0.7366666666666667,nan,nan,0.7211111111111111,0.6555555555555556,nan,0.7266666666666667
Mybatis3,0.15555555555555556,0.13,0.04888888888888889,0.015555555555555555,0.0022222222222222222,0.10444444444444445,0.034444444444444444
tensorflow,0.0,1.0,nan,0.10888888888888888,0.0,1.0,0.1988888888888889
cross_project,0.6652892561983471,0.3181818181818182,0.41115702479338845,0.4607438016528926,0.628099173553719,0.3512396694214876,0.44421487603305787
