,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,0.7019410577252829,0.5879063262123021,0.6254431220373645,0.3005871012833249,0.6785512315725447,0.6207764942097704,0.6447837820786746
BroadleafCommerce,0.7798747107763903,0.4667787779575906,0.5918784121079955,0.2600527245921488,0.6779948671473606,0.5511982944046807,0.6229786951817874
camel,0.7806060835112436,0.6227921613182672,0.690804690768484,0.4144085333982301,0.7470078300714501,0.6724496211774121,0.7016958237045584
corefx-v-6.2,0.9529672577724814,0.2025565937202368,0.4303027371481635,0.23500812470856644,0.8192638374832325,0.3187373925821139,0.5777532490334245
django,0.8105332656945841,0.5637634222781919,0.667213514932881,0.389723415658521,0.7511329455109035,0.6355979021531538,0.6871451770232901
elasticsearch,0.7835680243816495,0.6333429098106457,0.6962802086319635,0.4263395154359471,0.7504711903749666,0.6781478029415652,0.7084538135046592
fabric8,0.7685939229993392,0.550026197504426,0.6385429945371437,0.3335527892853079,0.7142516419726181,0.6111858591709646,0.6592911576153037
godot,0.8459997946547594,0.427660391538279,0.595355267114335,0.30413367124167223,0.7413070278419526,0.5350737393874417,0.6368372869531931
vscode,0.9679372598245932,0.2166681588991736,0.44857429054642667,0.28253421407694274,0.8896324477269366,0.3396659595583565,0.5923022426734457
pytorch,0.722547435735794,0.5862020971952285,0.6441139736146612,0.31440842001471864,0.6784484538495351,0.6237575255188293,0.6543422935599458
spring-boot,0.893772671070593,0.4807474509939162,0.6477908606720635,0.4161121668423933,0.8289595131782839,0.5989928389318312,0.6872581883930958
node,0.7135171175369456,0.6071569944919339,0.6523941366397428,0.3266166572155763,0.6852143178163513,0.6387525382921494,0.6603329577813993
nova,0.7639422869206188,0.5466591472948437,0.633251141430708,0.32441539146071696,0.7052048067755473,0.6025226884986534,0.6552920097040765
tomcat,0.6847026178293453,0.589308256948803,0.6249344118396267,0.2797152618983795,0.6536877969223085,0.6109055346353224,0.6369747521097442
pandas,0.8141630840678601,0.4899186613034278,0.6178872905482689,0.3270954530330122,0.7298048912139918,0.5711829145741341,0.6520282182362936
security,0.8235406490132406,0.5782592116487923,0.6773647845272979,0.4192387543423817,0.7713774281406977,0.6546674151044519,0.7008315299313779
rails,0.8812800661735788,0.3267652602186051,0.5278291531606648,0.2557060299452381,0.7500144712595309,0.4454982838614789,0.6040207866164601
rust,0.9854681375447452,0.06096316412257127,0.19336226405551785,0.11371338967388492,0.9031840758163427,0.09545035666416453,0.5232156022960708
wp-calypso,0.7860595625038596,0.5562987331553727,0.6520414816101633,0.3543822479703749,0.7255727905388557,0.6233804202216536,0.6707535071686289
npm,0.7099365021111029,0.4456533263263489,0.5507561709992251,0.16663413014902406,0.6182239480008952,0.5086481927313161,0.5777584878093462
Mybatis3,0.8182117092071176,0.4437204789767452,0.5871230712056394,0.28260556459708097,0.7149099228219379,0.5526834119747666,0.630789158881204
tensorflow,0.7570717141849284,0.627773860308386,0.6867543939635755,0.39049714153589626,0.7234741336329279,0.6694282833311115,0.6924219382923124
