,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,1.7343976283205784e-06,1.7343976283205784e-06,1.493563929839868e-05,0.002957462130717483,1.7343976283205784e-06,1.7343976283205784e-06,0.5304400912497492
BroadleafCommerce,2.3534209951215346e-06,4.729202337447058e-06,2.8434237746031825e-05,5.306991938091102e-05,0.1915221065809437,7.690859302848516e-06,3.7242647279456434e-05
camel,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06
corefx-v-6.2,0.04716174720825457,0.03326889706740501,0.018518974697467713,2.5967125848447383e-05,1.126539849982107e-05,0.007730944211317755,0.000715703384624892
django,0.003854236286879128,0.6288430020541073,0.009842142401693147,1.798848069179905e-05,1.126539849982107e-05,0.06268281249957977,0.0001477276174888222
elasticsearch,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06
fabric8,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06
godot,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06
vscode,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,8.187753439649276e-05,1.7343976283205784e-06,1.7343976283205784e-06,2.1266360107314253e-06
pytorch,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06
spring-boot,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06
node,2.1266360107314253e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,0.0012866311206026155,1.7343976283205784e-06,1.7343976283205784e-06
nova,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06
tomcat,0.0011973381999984532,0.12044472790832522,0.7498711559507313,0.7655192919016102,0.02182672159602272,0.30861485052601767,0.8450804241615161
pandas,5.216493447033368e-06,0.34934556237492975,8.187753439649276e-05,4.729202337447058e-06,1.7343976283205784e-06,0.0027652741969916386,2.8434237746031825e-05
security,0.18462187723062606,0.12543823902980825,0.27115519770883223,0.3184906025782175,0.8936443871266052,0.1915221065809437,0.2894770717054542
rails,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06
rust,7.690859302848516e-06,1.360110796799097e-05,0.0001149921754357011,0.051930665029697155,4.729202337447058e-06,7.690859302848516e-06,2.5967125848447383e-05
wp-calypso,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06
npm,0.0014839276312951777,0.2288804222849652,0.17790738330384115,0.004991554012370142,0.03000989131308078,0.6883592982254604,0.00316176493665549
Mybatis3,8.187753439649276e-05,4.0715116266282543e-05,3.882182386060857e-06,1.9209211049031396e-06,1.7343976283205784e-06,1.639446301677989e-05,1.9209211049031396e-06
tensorflow,1.7343976283205784e-06,1.7343976283205784e-06,0.5577426862039239,3.4052567232805375e-05,1.7343976283205784e-06,1.7343976283205784e-06,0.0014839276312951777
cross_project,1.5735626220703125e-05,6.532669067382812e-05,0.0005044937133789062,0.007443428039550781,6.532669067382812e-05,0.00012063980102539062,0.0019183158874511719
