,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,0.04111111111111111,0.9911111111111112,1.0,0.7333333333333333,0.0,0.9966666666666667,0.9722222222222222
BroadleafCommerce,0.0077777777777777776,1.0,1.0,1.0,0.6366666666666667,1.0,1.0
camel,0.08333333333333333,0.6733333333333333,nan,0.4022222222222222,0.21666666666666667,0.6177777777777778,nan
corefx-v-6.2,1.0,0.0,0.0,0.0,0.9977777777777778,0.0,0.0
django,0.40555555555555556,nan,nan,0.37222222222222223,0.2411111111111111,nan,0.4255555555555556
elasticsearch,0.0,1.0,1.0,0.9988888888888889,0.0,1.0,1.0
fabric8,0.0,1.0,1.0,0.9588888888888889,0.0,1.0,0.9988888888888889
godot,0.0,1.0,1.0,1.0,0.0,1.0,1.0
vscode,0.14666666666666667,nan,nan,0.27444444444444444,0.0011111111111111111,nan,nan
pytorch,0.0,1.0,1.0,1.0,nan,1.0,1.0
spring-boot,0.0,1.0,1.0,1.0,0.0,1.0,1.0
node,0.0044444444444444444,0.9944444444444445,0.9455555555555556,nan,0.023333333333333334,0.9744444444444444,0.8577777777777778
nova,0.0,1.0,1.0,1.0,0.0,1.0,1.0
tomcat,nan,nan,nan,nan,0.47444444444444445,nan,nan
pandas,nan,nan,nan,nan,nan,nan,nan
security,0.35777777777777775,0.59,0.5766666666666667,nan,0.36333333333333334,0.5866666666666667,0.5466666666666666
rails,0.0,1.0,1.0,0.9644444444444444,0.0,1.0,1.0
rust,1.0,0.0,0.0011111111111111111,0.014444444444444444,0.9788888888888889,0.0,0.0
wp-calypso,0.15666666666666668,0.8622222222222222,0.8711111111111111,0.7966666666666666,0.25333333333333335,0.87,0.83
npm,0.2,0.7044444444444444,nan,nan,0.3277777777777778,nan,nan
Mybatis3,0.0,0.9488888888888889,0.8455555555555555,nan,0.008888888888888889,0.8855555555555555,nan
tensorflow,0.0,1.0,1.0,1.0,0.0,1.0,1.0
cross_project,0.6466942148760331,0.390495867768595,0.39462809917355374,nan,0.5785123966942148,0.3822314049586777,0.45454545454545453
