,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,-0.0141,0.0352,0.0305,0.0059,-0.02,0.0299,0.0105
BroadleafCommerce,-0.0241,0.0678,0.0597,0.0369,0.0035,0.0768,0.0218
camel,-0.0039,0.0034,0.001,-0.0015,-0.0028,0.002,-0.0003
corefx-v-6.2,0.0302,-0.1123,-0.1214,-0.0702,0.02,-0.1432,-0.0411
django,-0.0007,-0.0007,-0.0015,-0.0026,-0.0039,-0.0015,-0.0007
elasticsearch,-0.0584,0.0931,0.0377,0.0155,-0.037,0.0575,0.0173
fabric8,-0.0858,0.1304,0.0539,0.021,-0.0445,0.0848,0.0223
godot,-0.0526,0.1241,0.0875,0.0436,-0.036,0.116,0.0358
vscode,-0.0027,0.0005,0.0034,-0.0052,-0.017,0.0022,-0.0011
pytorch,-0.0167,0.0448,0.0317,0.0224,0.0004,0.0416,0.0141
spring-boot,-0.0751,0.1401,0.049,0.0461,-0.0393,0.074,0.0325
node,-0.0253,0.034,0.0118,0.0023,-0.014,0.02,0.0043
nova,-0.1052,0.2038,0.138,0.07,-0.0288,0.1856,0.0493
tomcat,-0.0007,0.0006,0.0001,-0.0003,-0.0006,0.0003,-0.0001
pandas,0.0017,-0.0033,-0.0002,-0.0002,0.0035,-0.0009,-0.0008
security,-0.0027,0.0052,0.0028,0.0013,-0.0019,0.0039,0.0013
rails,-0.0296,0.0659,0.0554,0.0222,-0.0217,0.0713,0.0182
rust,0.0064,-0.0268,-0.0804,-0.0424,0.0544,-0.0444,-0.0102
wp-calypso,-0.0058,0.0126,0.0072,0.0044,-0.0026,0.0097,0.0034
npm,-0.0084,0.0078,0.0028,-0.0024,-0.0052,0.0051,-0.0003
Mybatis3,-0.0212,0.0241,0.0087,-0.0035,-0.0161,0.0148,0.0014
tensorflow,-0.0538,0.0893,0.0356,0.0208,-0.0258,0.0552,0.0177
