,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,0.7899144941350943,0.4917420150787135,0.6026904145964558,0.3108191805847189,0.7293712289483094,0.5704949845357626,0.6407296397496658
BroadleafCommerce,0.8911011646558606,0.26953639213061703,0.4680009994899553,0.2026511066004052,0.7112722866197864,0.3767235828218864,0.5801465939475315
camel,0.8641335008039758,0.4607304797229729,0.6253808465757925,0.3568266773461701,0.7754528258665939,0.5721133263166694,0.6624299474346962
corefx-v-6.2,0.9373748104856734,0.2745623952489687,0.5039776166375989,0.2860172556598527,0.8249238897153816,0.4092597727581907,0.6059570496223652
django,0.9343466334881012,0.255153238079363,0.4639831602199838,0.26034023755187297,0.818929847087364,0.3653111971476787,0.5947488383784816
elasticsearch,0.8843876504842261,0.4510264357156967,0.6252295421490902,0.37456209878928015,0.8007814375939382,0.5691986424723736,0.6677061597942638
fabric8,0.8519430915615004,0.4237378514352907,0.591104128550615,0.3104275928595997,0.7531828237567005,0.5326397468852282,0.6378283773219179
godot,0.9080858318856648,0.30626363792260103,0.5150166427027784,0.2736852814528496,0.7875620881788513,0.4264298454704272,0.6071798866945703
vscode,0.9788537388459044,0.15969522894270394,0.3872262680710653,0.2444571531623555,0.9045401728905792,0.2654567882418672,0.5692741761004125
pytorch,0.8828750373637522,0.3334850622773365,0.5293961930564515,0.25777911120969044,0.7384042734365724,0.4469329169127491,0.6081663415750971
spring-boot,0.8729385263503092,0.5435016970120851,0.6828852314910413,0.44382111590480733,0.8148145917942676,0.6451263741814214,0.7082178717652211
node,0.8504019612487627,0.4213807655293923,0.5949952968051325,0.3041337992218089,0.7457419347687527,0.5338018922422667,0.6358892233393125
nova,0.8688191908571207,0.3314836066143517,0.4956933157910338,0.2395778541390268,0.7256885769866652,0.4149927536702584,0.6001465599010205
tomcat,0.8348281847086999,0.3539778942177792,0.5340396950064142,0.21691020341473005,0.6855497921545534,0.4579329904498742,0.5943869646602876
pandas,0.91948578633003,0.2373290323979503,0.43177430624941454,0.20984994009436828,0.7489181270252379,0.33020962632353484,0.578401926798625
security,0.8899023737217142,0.4405410359144064,0.6172546451663418,0.3727546672557238,0.8092391848231697,0.5667876534475156,0.6651790280112234
rails,0.9210647632668392,0.2409126948646838,0.4610836473365557,0.225642961944038,0.7712053294108329,0.3575156975810793,0.5809874813540024
rust,0.9885571376298756,0.05281942652615195,0.18456668457141706,0.10738690190984497,0.8873605002637743,0.08594609915640343,0.5206882438579347
wp-calypso,0.8530140428851525,0.4600889739145512,0.6211343666909238,0.3426324281444329,0.7642306569611689,0.570218538858054,0.6562590756055917
npm,0.8509335087616979,0.3180251788959397,0.5091204656779938,0.2001026554972718,0.6833283077101759,0.4235939734975939,0.5844606239379186
Mybatis3,0.8383776719732292,0.4143415434317925,0.5761287829437507,0.27996156237988423,0.7282700423920351,0.5324677295121505,0.6262023000973679
tensorflow,0.8585394674986602,0.4518635602535997,0.6183883570426242,0.3415903556957879,0.7645571042505149,0.5624879727633493,0.6552010195181619
