,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,0.7242977731634034,0.5696450854365985,0.6272007875973816,0.3077044827004496,0.6891054763627135,0.6137413643377609,0.6468420137288136
BroadleafCommerce,0.8248996825994229,0.3753451846784052,0.5401649613181629,0.2254435409105203,0.6834861503312472,0.4772333002886638,0.599845575296036
camel,0.8491491630435287,0.5200207473833228,0.6608494257378885,0.3929616800013848,0.7781751576843206,0.619431417590315,0.6845826870867519
corefx-v-6.2,0.8971102997978151,0.3897098758924255,0.5885144225719791,0.3357135523322159,0.7995756541186115,0.5217704929117172,0.6433911065067951
django,0.9090156851015336,0.31783218044843115,0.5106176252082033,0.2837543456191074,0.7942417877873901,0.4257917524643959,0.6134224119593691
elasticsearch,0.8616482959378751,0.5031410271415727,0.6529992545470192,0.3927946502766274,0.7872058555169346,0.6076430928161501,0.682393604499979
fabric8,0.7708380982598778,0.5541334520085954,0.6476167847090453,0.3363749753285322,0.7128621926811474,0.6200041984883969,0.6624670558153556
godot,0.8909049267567354,0.35918066521303765,0.557550120533527,0.29970334128264714,0.7785620416834363,0.4819035737191597,0.6250488379150644
vscode,0.9364987376624346,0.35623535782988824,0.5740803884656909,0.36135830870861,0.8554207354137262,0.4988136445007735,0.6463661234550762
pytorch,0.8294663104760224,0.4323774939212324,0.5905623675534539,0.2858542707611568,0.7159841158518858,0.5325760373096962,0.6309019430232262
spring-boot,0.8651515243962851,0.5692715145397464,0.6955893054895893,0.4579332007369397,0.8122566317900799,0.6619299792369874,0.7172091422780922
node,0.8508787866696665,0.4356301980999628,0.605888311656179,0.3170910872494081,0.7498147764922743,0.547378426588867,0.6432523591561963
nova,0.8566871745472373,0.34905809061137305,0.5129713245119832,0.2412551128918312,0.7164779573477416,0.43550905788299377,0.6028673462338442
tomcat,0.8372809389064902,0.34755172178163984,0.5295637418038197,0.21224591048823252,0.6816339788293418,0.4515708734620084,0.5924004942473375
pandas,0.9219859292992936,0.2669090867904159,0.4681333448496623,0.25086153623051444,0.7888877935074419,0.3710478898005977,0.5944421957251719
security,0.8294331266136782,0.5269293693939915,0.6514261510633647,0.3764052755820803,0.761281477662598,0.6197987312569542,0.678115131687304
rails,0.8832022377469265,0.3386246140915174,0.5389002940427233,0.2688770979282786,0.7561816916300576,0.4588186333980974,0.6109115797229294
rust,0.9832217912320216,0.06800235056646113,0.20220105952186296,0.11597640463143385,0.8957053143395156,0.10851991954604566,0.525612014858677
wp-calypso,0.8451882055892994,0.4800428783890653,0.6311753054311858,0.35139485559193384,0.7624667832453441,0.5845184917105153,0.6623075394662709
npm,0.7818131572177164,0.4000469380668424,0.5409852954428831,0.20352488038017105,0.6649613126764711,0.4826468259674195,0.5909026475615583
Mybatis3,0.8381613953768648,0.4044133464781032,0.5664426763629465,0.2680483327087406,0.7171466230632448,0.5266391104556063,0.6211298528195359
tensorflow,0.8389263372498335,0.4745420607779538,0.6272588565752005,0.3384307510227406,0.7492694941702798,0.5765759083343439,0.6567336361144954
