,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,1.7343976283205784e-06,2.370447702550485e-05,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,0.019569215233846395,1.7343976283205784e-06
BroadleafCommerce,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.9209211049031396e-06,0.1915221065809437,1.7343976283205784e-06,1.7343976283205784e-06
camel,1.9729484515803686e-05,0.0002830789435165413,0.007730944211317755,0.5038329688781412,6.892290296834955e-05,0.0017087731951465322,0.08971783776750893
corefx-v-6.2,1.9209211049031396e-06,0.0019645813713265476,0.6288430020541073,4.729202337447058e-06,1.7343976283205784e-06,0.0752133122154768,0.0041140307793227126
django,0.003378854437718857,0.22102157481330342,0.6883592982254604,0.3933343721992797,0.006835856425301226,0.5304400912497492,0.7970983030067952
elasticsearch,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06
fabric8,0.051930665029697155,0.11092566512553104,0.46528258187908456,0.9426105124576512,0.1915221065809437,0.25364409754600126,0.8130168513045055
godot,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06
vscode,1.7343976283205784e-06,2.603328389538926e-06,1.9209211049031396e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.9209211049031396e-06,1.7343976283205784e-06
pytorch,2.3534209951215346e-06,0.05983560139134924,0.46528258187908456,1.9729484515803686e-05,1.7343976283205784e-06,0.37093530784512463,0.000715703384624892
spring-boot,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06
node,1.7343976283205784e-06,1.7343976283205784e-06,2.1266360107314253e-06,0.0008307070066870031,1.9209211049031396e-06,1.9209211049031396e-06,5.751653269401829e-06
nova,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,2.3534209951215346e-06,1.7343976283205784e-06,1.7343976283205784e-06
tomcat,0.02702915661831454,0.04716174720825457,0.05983560139134924,0.7343252914391281,0.198610209945546,0.0752133122154768,0.3600388294588497
pandas,0.3184906025782175,0.0427666880169531,0.0011973381999984532,0.002105260340900366,0.024307541573260996,0.0019645813713265476,0.0056671726914977955
security,5.216493447033368e-06,0.0008307070066870031,0.25364409754600126,0.34934556237492975,7.513662254944795e-05,0.0368261284160903,0.9917945644340904
rails,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06
rust,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06
wp-calypso,0.0005287248371505039,0.003609433349384215,0.002105260340900366,0.8290130316946699,0.00010569503498431287,0.003854236286879128,0.12543823902980825
npm,0.4284300285458069,0.5577426862039239,0.24519030932096386,0.3600388294588497,0.30861485052601767,0.27115519770883223,0.5440062075841892
Mybatis3,1.7343976283205784e-06,2.603328389538926e-06,1.493563929839868e-05,0.17137638877502248,1.7343976283205784e-06,6.339135573122464e-06,0.12543823902980825
tensorflow,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.7343976283205784e-06,1.493563929839868e-05,1.7343976283205784e-06,1.7343976283205784e-06
cross_project,0.0012617111206054688,0.0005927085876464844,0.00012063980102539062,0.01272726058959961,0.0025048255920410156,0.00014638900756835938,0.0008091926574707031
