,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
0,0.8294697451001364,0.4976088460854294,0.63291961808213,0.3499226465964142,0.7530098232403367,0.5958691911540304,0.6634741231342871
1,0.8288208882169297,0.5135369304124562,0.6441095792050361,0.3621141908129315,0.7538837124444079,0.6093430880781057,0.671113488879096
2,0.7976909031191168,0.5560407784910343,0.6561500931182667,0.3676498903839325,0.7401357802044576,0.6319631549569501,0.6767885232567759
3,0.8377391446121228,0.5102895100167204,0.6461346760971266,0.37058835940498663,0.76517741399212,0.6110856747639507,0.6739523152165129
4,0.8323295391238843,0.5365937704746108,0.6578210135027143,0.3880742395461603,0.7646915024722731,0.6271221217311256,0.684397575283511
5,0.7974625171197542,0.5676673760602028,0.6620387800539079,0.37811718572961006,0.7416771203075658,0.6390968810058238,0.6824875417581814
6,0.8307380131814126,0.5197198020428035,0.6488200644468882,0.36995478925519365,0.757597801555224,0.6152902479441764,0.6751642198544001
7,0.8317064921460837,0.5148374621617747,0.6450259733115187,0.3673313719768348,0.7590088733867387,0.6109669600326852,0.6732076595250008
8,0.8000854437619961,0.5722612599169705,0.6653994722520864,0.38554751018155786,0.7465380150227198,0.6435053683354489,0.6860969494255729
9,0.8121944804227463,0.5375404167470035,0.6518284450552999,0.3657605135486023,0.7457468794344436,0.6225393233073553,0.6747956739461923
10,0.8073330698247593,0.5496201640523398,0.6567559065016387,0.3717493975735527,0.745246467662278,0.6303492102564071,0.6784029843886086
11,0.8329781044573199,0.5089006754395325,0.6424486496892275,0.3631790903914755,0.7583816068463493,0.6072235651146376,0.670875558298368
12,0.815485995863027,0.5573428216962362,0.6651585124552462,0.3881645838101829,0.7553286359813697,0.6393427026073092,0.6863438920769881
13,0.8227687902783042,0.530407188148479,0.6507362209095496,0.37149100728087453,0.7548406547629684,0.6199265746432641,0.6765202558151946
14,0.8258919953301719,0.5452122988548566,0.6611662346019314,0.38891369394283953,0.7626799204652772,0.6329033047138752,0.6854856073062763
15,0.8224553685840558,0.5387918014855765,0.6568903690075559,0.37810065836684126,0.7549908440941455,0.6270206119731061,0.6805557318545762
16,0.831590930704856,0.5181010082273391,0.6476037382653627,0.3697855313854791,0.7587501802892984,0.6137696609693383,0.6747816076724359
17,0.8117859603827878,0.5732387231910346,0.6698200640076247,0.39980550335284326,0.7568561056353709,0.6467084183526436,0.6924404110219425
18,0.8404740324485617,0.5099030248096621,0.6449155243446705,0.37373805865902776,0.7687884531397479,0.6099065818060396,0.6751275617378977
19,0.8105467120043142,0.5325568754897902,0.6478282210662268,0.3597359423964923,0.743846740835124,0.6181155087626021,0.6714793893719104
20,0.8085300150615171,0.5777957196290974,0.6727604965722365,0.4010088690200074,0.7578731146544366,0.6516155888449089,0.6930896922383216
21,0.8314957015763924,0.527629977894355,0.6527502281734088,0.37860943830080623,0.7617236822582519,0.6208842825490768,0.6794984415474874
22,0.8446373326520045,0.49506498513506847,0.6384543030081907,0.36592821282675564,0.7714603032980885,0.6010971233785758,0.6697917831130014
23,0.8327923024498471,0.5406936169943751,0.6606981381415319,0.3922171529817599,0.767117211010026,0.630923375078512,0.686679057063107
24,0.8135271753297946,0.5508214699845817,0.6591289778685561,0.38126898355641253,0.7540289547279403,0.6326877311057002,0.6821030573416373
25,0.8063809447821484,0.5345785170380566,0.6466677166566096,0.35744200343295046,0.7408801410569681,0.6176440902339417,0.6704057344814479
26,0.8412665603803122,0.5110522280127836,0.6470588722181622,0.37544193142150833,0.7691693986360073,0.6120638849428951,0.676098730189967
27,0.819876287681555,0.545616000157947,0.6589812820684828,0.38213174202157707,0.7567224678026286,0.6310624645453485,0.6826773050783849
28,0.820150200542816,0.5405370697236148,0.6541983797799378,0.37880729822157866,0.7557701321433004,0.6249977451805745,0.6802749009745909
29,0.8126879579608232,0.5514959154019666,0.6586492833683673,0.380108898789275,0.752012831338021,0.6320472213882902,0.6820203506376591
avg,0.8216964201699851,0.5355152077925232,0.6534306277943164,0.37542295650561547,0.7557978256232629,0.6235690552585565,0.6785376707496447
