,kendall,A12
brackets,0.7999999999999999,0.5
BroadleafCommerce,0.9999999999999999,0.5
camel,0.0,0.5
corefx-v-6.2,0.6,0.5
django,0.9999999999999999,0.5
elasticsearch,0.9999999999999999,0.5
fabric8,0.7999999999999999,0.5
godot,0.0,0.5
vscode,0.6,0.5
pytorch,0.9999999999999999,0.5
spring-boot,0.7999999999999999,0.5
node,0.0,0.5
nova,0.0,0.5
tomcat,0.0,0.5
pandas,0.9999999999999999,0.5
security,0.9999999999999999,0.5
rails,0.9999999999999999,0.5
rust,0.39999999999999997,0.5
wp-calypso,0.9999999999999999,0.5
npm,0.9999999999999999,0.5
Mybatis3,0.7999999999999999,0.5
tensorflow,-0.19999999999999998,0.5
cross_project,0.9486832980505138,0.54
